Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Non-intrusive incoming calls,5+[550] or 3rd party software[551],No  3rd party software on jailbroken devices[552],No,No,No,No[553],?
Non-intrusive notifications,Yes[554],5+[152],Yes [555] except Calendar Reminders[556],6+[557],?,?,?
Move apps to external storage,2.2+[558],External storage not allowed for apps,8.1+[93],No,No,No,No
Remote Frame Buffer (RFB) protocol,Yes[559],3rd party software[560],?,?,?,?,?
Screencast on device,No [561] 3rd party software like LineageOS ScreenCast [562] AOKP or OmniROM[563],9+[564],No,No,No,No,Yes
Screencast over USB,4.4+ over USB [172] for prior versions root required for 3rd party app[565],8+: on OS X[566],8.1+[567],No,No,?,No
Screen share,On select devices using vendor's implementation[568][569][570],No,Yes,10+[571],No,No,No
