Title,Status,Graphics,Setting,Subscription Model,Initial release date,Discontinued date,Distribution,Notes
EverQuest Next,Cancelled,3D,Fantasy,[empty],[empty],[empty],[empty],Active  open world  Multiplatform: PC  PlayStation 4. Cancelled as of 2016
Face of Mankind,[empty],3D,Science fiction,Freemium,2009,[empty],[empty],[empty]
Fallen Earth,[empty],3D,Post-apocalyptic,Freemium,2009,[empty],[empty],[empty]
Fantage,Closed,2D,Fantasy,Freemium,2008,2018-06-30,[empty],Browser-based
Fantasy Earth Zero,Closed,3D,Fantasy,Free-to-play,2006,2013,[empty],50vs50 PvP-oriented gameplay
Fantasy Westward Journey,[empty],2D,Fantasy (Chinese),Free-to-play,2004,[empty],[empty],Inspired by Journey to the West
Fiesta Online,[empty],3D,Fantasy,Free-to-play,2007,[empty],[empty],[empty]
Final Fantasy XI,Active,3D,Fantasy,Pay-to-play,2002,[empty],[empty],Multiplatform: PC  PlayStation 2  Xbox 360
Final Fantasy XIV: A Realm Reborn,Active,3D,Fantasy,Pay-to-play,2013,[empty],Steam,Relaunch of Final Fantasy XIV. Now known as Final Fantasy: Stormblood with latest expansion. Multiplatform: PC  PlayStation 3  PlayStation 4
Firefall,Closed,3D,Science fiction,Free-to-play,2014,2017-07-07,[empty],First-person/third-person shooter
Flyff,Active,3D,Fantasy,Freemium,2005,[empty],[empty],[empty]
Fragoria,[empty],3D,Fantasy,Freemium,2011,[empty],[empty],Browser-based
Free Realms,Closed,3D,Fantasy,Free-to-play,2009-04-28,2014-03-31,[empty],[empty]
Gekkeiju Online,[empty],3D,Medieval fantasy,Free-to-play,2003,[empty],[empty],Anime-based. New version in 2010 with ""Occulus Rift"" support
GodsWar Online,[empty],3D,Mythology (Greek),Free-to-play,2009,[empty],[empty],[empty]
Granado Espada,[empty],3D,Historical fantasy (Age of Exploration),Pay-to-play,2007,[empty],[empty],[empty]
Grand Chase,Closed,2D,Fantasy,Free-to-play,2003,2015-04-15,[empty],Client download required
Guild Wars,Active,3D,Fantasy,Buy-to-Play,2005,[empty],Steam,[empty]
Guild Wars 2,Active,3D,Fantasy,Free-to-play / Buy-to-play,2012,[empty],Launcher,Manual aim action combat (guided  optional); Sequel to Guild Wars
Hello Kitty Online,[empty],3D,Cartoon,Free-to-play,2009,[empty],[empty],Client download required.
Hero Online,[empty],3D,Mythology (Chinese),Free-to-play,2006,[empty],[empty],[empty]
Identity,[empty],3D,Fantasy,N/A,N/A,[empty],[empty],[empty]
Illyriad,Active,2D,Fantasy,Free-to-play,2011,[empty],[empty],Browser Based
Infantry Online,[empty],2D,Science Fiction,Free-to-play,1999,[empty],[empty],[empty]
Istaria: Chronicles of the Gifted,[empty],3D,Fantasy,Free-to-play / Pay-to-play,2003,[empty],[empty],Name changed from Horizons
Jade Dynasty,[empty],3D,Fantasy  martial arts,Freemium,2008,[empty],[empty],Latest expansion in 2013
Kal Online,[empty],3D,Fantasy,Freemium,2004,[empty],[empty],[empty]
Knight Online,Active,3D,Fantasy,Free-to-play,2004,[empty],Steam,[empty]
LaTale,[empty],2D (side-scrolling),Fantasy,Freemium,2009,2010,[empty],[empty]
The Legend of Ares,[empty],3D,Fantasy,Free-to-play,2007,2009-05,[empty],[empty]
The Legend of Mir 2,[empty],2D (sprite-based),Fantasy,Free-to-play,2001,[empty],[empty],[empty]
The Legend of Mir 3,[empty],2D (sprite-based),Fantasy,Pay-to-play,2004,[empty],[empty],Sequel to The Legend of Mir 2
Lineage,Closed,2D (sprite-based),Fantasy,Pay-to-play,1998,2011,[empty],North American servers shutdown on June 29  2011
Lineage II,Active,3D,Fantasy,Freemium,2003,[empty],[empty],Sequel to Lineage  formerly pay-to-play until the 2011 expansion
Lineage III,Development,3D,Fantasy,[empty],TBA,[empty],[empty],Sequel to Lineage II
Little Space Heroes,[empty],2D,Kids,Freemium,2011,2015,[empty],[empty]
The Lord of the Rings Online,Active,3D,Fantasy,Freemium,2007,[empty],Steam,[empty]
Love,[empty],3D,Fantasy,Free-to-play,2010,[empty],[empty],Builder
Mabinogi,Active,3D,Fantasy  mythology (Welsh),Free-to-play,2004,[empty],Steam,[empty]
MapleStory,Active,2D (side-scrolling),Fantasy,Free-to-play,2003,[empty],[empty],[empty]
MapleStory 2,Active,3D,Fantasy,Free-to-play,2015,[empty],[empty],Sequel to MapleStory
Marvel Heroes,[empty],3D,Superheroes,Free-to-play,2013,2017-11-27,[empty],[empty]
Matrix Online,[empty],3D,Science fiction,Pay-to-play,2005-03-22,2009-07-31,[empty],[empty]
Meridian 59,[empty],3D,Fantasy,Free-to-play,1995,[empty],[empty],Formerly pay-to-play
Metin 2,[empty],3D,Fantasy,Freemium,2004,[empty],[empty],[empty]
Minions of Mirth,[empty],3D,Fantasy,Freemium,2005,[empty],[empty],[empty]
MonsterMMORPG,[empty],2D,Fantasy,Free-to-play,2009,[empty],[empty],Browser-based
Mortal Online,Active,3D,Fantasy,Free-to-play,2010,[empty],Steam,Formerly pay-to-play
MU Online,Active,3D,Medieval fantasy,Free-to-play,2003,[empty],[empty],[empty]
Myst Online,[empty],3D,Ancient Fantasy,Free-to-play,2007,[empty],[empty],Open source; formerly pay-to-play
Mythos,[empty],3D,Fantasy,Free-to-play,2011,2014-01-22,[empty],[empty]
Neocron,[empty],3D,Cyberpunk,Free-to-play,2002,[empty],[empty],FPS-style gameplay  second installment run by the game's community
Neverwinter,Active,3D,Fantasy,Freemium,2013,[empty],Steam,Manual aim action combat
Nexus: The Kingdom of the Winds,[empty],2D (sprite-based; overhead),Mythology (Korean),Pay-to-play,1996,[empty],[empty],[empty]
Omerta,Active,Text,Mafia,Free-to-play,2003,[empty],[empty],[empty]
Pantheon: Rise of the Fallen,Development,3D,Fantasy,[empty],[empty],[empty],[empty],Spiritual successor to the original EverQuest
Parallel Kingdom,[empty],3D,Fantasy,Freemium,2008,[empty],[empty],[empty]
Pardus,[empty],2D,Science fiction,Free-to-play,2004,[empty],[empty],Browser-based  space war and trading game
Perfect World,Active,3D,Fantasy (Chinese),Freemium,2005,[empty],[empty],Latest expansion in 2013
Perpetuum[3][4],Active,3D,Science fiction,Buy-to-play,2010,[empty],[empty],Persistent sandbox MMORPG. Formerly a subscription[5]
Phantasy Star Online 2,[empty],3D,Science Fiction,Freemium,2012,[empty],[empty],[empty]
Phoenix Dynasty Online,Closed,2D,Fantasy,Free-to-play,2007,2010-12-08,[empty],[empty]
Pirate101,[empty],3D,Fantasy  kids,Freemium,2012,[empty],[empty],Pirate game  kid-safe chat
Pirates of the Burning Sea,[empty],3D,Historical (maritime),Free-to-play,2008,[empty],[empty],[empty]
Pirates of the Caribbean Online,Closed,3D,Adventure,[empty],2007,2013-09-01,[empty],Free-to-play
PlaneShift,[empty],3D,Fantasy,Free-to-play,2000,[empty],[empty],Open source
Poptropica,Active,2D (side-scrolling),Cartoon  kids,Freemium,2007,[empty],[empty],Browser-based  no downloadable client required
Priston Tale,[empty],3D,Fantasy,Freemium,2001,[empty],[empty],[empty]
Priston Tale 2,[empty],3D,Fantasy,Freemium,2008,2013,[empty],[empty]
Puppet Guardian,[empty],2D (isometric; adventure),Fantasy,Free-to-play,2007,[empty],[empty],[empty]
Puzzle Pirates,[empty],2D,Fantasy,Free-to-play,2003,[empty],[empty],[empty]
Ragnarok Online,Active,2D/3D[6],Fantasy  mythology (Norse/mixed),Freemium/Pay-to-play (Depending on the server),2002,[empty],Steam,[empty]
Ragnarok Online 2,Active,3D,Fantasy,Free-to-play,2012,[empty],Steam,Sequel to Ragnarok Online
Ran Online,[empty],3D,Campus fantasy,Freemium,2004,[empty],[empty],[empty]
Realm of the Mad God,Active,2D,Fantasy,Free-to-play,2011,[empty],Steam,Browser-based
The Realm Online,[empty],2D (sprite-based),Fantasy,Pay-to-play,1996,[empty],[empty],[empty]
Red Stone,[empty],2D,Fantasy,Free-to-play,2004,[empty],[empty],[empty]
Regnum Online,[empty],3D,Medieval fantasy,Freemium,2007,[empty],[empty],[empty]
Requiem: Memento Mori,[empty],3D,Dark fantasy,Free-to-play,2008,[empty],[empty],[empty]
RF Online,[empty],3D,Science fiction,Pay-to-play,2006,[empty],[empty],[empty]
Rift,Active,3D,Fantasy,Free-to-play,2011,[empty],Steam,Formerly pay-to-play
Rohan: Blood Feud,[empty],3D,Fantasy,Freemium,2008,[empty],[empty],[empty]
ROSE Online,[empty],3D,Fantasy,Freemium,2005,[empty],[empty],[empty]
Rubies of Eventide,[empty],3D,Medieval fantasy,Free-to-play,2003,2009,[empty],[empty]
Runes of Magic,[empty],3D,Medieval fantasy,Freemium,2009,[empty],[empty],[empty]
RuneScape,Active,3D,Medieval fantasy,Freemium with subscription model,2001,[empty],Standalone,Browser-based  Java and HTML 5. Optional membership will unlock more skills and quests. Currently 2 separate games  RuneScape 3 ("current" game) and Oldschool RuneScape (game as it was circa 2007).
Rusty Hearts,[empty],3D,Fantasy,Free-to-play,2011,2014,[empty],Hack and slash
Ryzom,Active,3D,Science fantasy,Freemium,2004,[empty],Steam,Free-to-play (up to level 125)  pay-to-play (to max level). Open source
Salem,Active,3D,Historical (17th century) fantasy,Free-to-play,2012,[empty],Standalone,Crafting-based
Sangokushi Online,[empty],3D,Historical (Chinese),Pay-to-play,2008,2010-07-19,[empty],Part of the Romance of the Three Kingdoms series by Koei
Scions of Fate or Yulgang,[empty],3D,Fantasy,Free-to-play,2005,[empty],[empty],[empty]
Seal Online,[empty],3D,Fantasy,Freemium,2003,[empty],[empty],[empty]
The Secret World,[empty],3D,Modern,Buy-to-play,2012,[empty],Steam,Formerly pay-to-play
Shadowbane,[empty],3D,Fantasy,Pay-to-play,2003-03-25,2009-07-01,[empty],Switched to "free-to-play" in March 15  2006  supported by ads
Shin Megami Tensei: Imagine,[empty],3D,Fantasy,Free-to-play,2007,[empty],[empty],[empty]
Sho Online,[empty],3D,Historical fantasy (China),Free-to-play,2008,[empty],[empty],[empty]
Shot-Online,[empty],3D,Sports (golf),Freemium,2004,[empty],[empty],[empty]
Shroud of the Avatar: Forsaken Virtues,[empty],3D,Fantasy,Buy-to-play,2018,[empty],[empty],Spiritual successor to the Ultima series
Silkroad Online,Active,3D,Fantasy,Free-to-play,2005,[empty],[empty],[empty]
Skyforge,Active,3D,Fantasy (Mythic/Sci-fi),Freemium,2015,[empty],[empty],Russian-based developers. Manual aim action combat
Soul of the Ultimate Nation,[empty],3D,Fantasy,Pay-to-play,2007,2013-07-03,[empty],[empty]
Spiral Knights,Active,3D,Fantasy,Freemium,2009,[empty],[empty],Java
StarQuest Online,Closed,3D,Science fiction,Free-to-play,2007,2014,[empty],Downloadable client (Windows)
Star Trek Online,[empty],3D,Science fiction,Freemium,2010,[empty],[empty],Switched to "free-to-play" in January 17  2012
Star Wars Galaxies,Closed,3D,Science fiction,Pay-to-play,2003-06-26,2011-12-15,[empty],The first Star Wars MMORPG used a "sandbox" approach with a totally player-driven economy
