[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,March 2001,4,[empty],[empty],Proprietary
ACDSee,[empty],[empty],[empty],19,[empty],$59,Proprietary
ACDSee Pro,[empty],[empty],[empty],9,[empty],$99,Proprietary
ACDSee Ultimate,[empty],[empty],[empty],9,[empty],$149,Proprietary
Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc.,September 10  2007,5.6.2,January 24  2017,[empty],Proprietary
Adobe Fireworks*,Alternative to Photoshop targeted at web designers  discontinued after CS6,Macromedia,1998,CS6 / 12.0,May 7  2012,Discontinued,Proprietary
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,February 19  1990,CC 2018 / 19.1.6.784,August 22  2018,$9.99/month,Proprietary
Adobe Photoshop Elements,Raster graphics editor for entry-level photographers  image editors and hobbyists,[empty],[empty],14.0,September 24  2015,$99,Proprietary
Adobe Photoshop Lightroom,Photo editor,Adobe Systems,February 19  2007,6.12,July 18  2017,$9.99/month,Proprietary
Affinity Photo,Professional image editor for Windows  macOS and iOS,Serif Europe,July 9  2015,1.6.7,March 1  2018,$49.99,Proprietary
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets & tablet computers,Autodesk,2004,2016 (4.1),[empty],[empty],Proprietary
Artipic,Image editor for Windows and macOS,Artipic AB,2014,2.6,October 30  2017,[empty],Proprietary
ArtRage,Digital paint program for tablet computers,Ambient Design,2004,4.5.1,[empty],[empty],Proprietary
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,2002,3.0,[empty],[empty],Freeware
Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,2000,5.2,[empty],[empty],Proprietary
Bloom Image Editor,Procedural node-based image editor,Sad Cat Software,2015,1.0.181,[empty],[empty],Proprietary
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,2004,2.0,[empty],[empty],Freeware
Capture One,Professional raw converter and image editor,Phase One,2002,12,[empty],[empty],Proprietary
Chasys Draw IES,Image Editor with layers  animation  icon edit  super-res  batch and camera raw,John Paul Chacha,2001,4.56.01,November 12  2018,[empty],Freeware
CinePaint,Moving picture  photo and graphics editor,Robin Rowe,July 4  2002,2011 (1.0),[empty],[empty],GPL
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,2001,6.2,[empty],[empty],Proprietary
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,1992,X7,[empty],[empty],Proprietary
Corel Painter,Made to create natural-looking artistic images,Mark Zimmer  Tom Hedges  John Derry,August 1991,15.1.0.740,January 12  2016,[empty],Proprietary
Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,1992,X7/17,[empty],[empty],Proprietary
darktable,Photography workflow application and raw developer,Johannes Hanika,April 2009,2.0,[empty],[empty],GPL 3
Deluxe Paint*,Discontinued basic editor,Dan Silva,1985,5,[empty],[empty],Proprietary
Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.,Jorge Miranda  Joaquin de Soto  Manny Menendez,September 1987,14,[empty],[empty],Proprietary
DigiKam,Free photo organizer and image editor,Renchi Raju  Gilles Caulier,2002,4.10.0,[empty],[empty],GPL
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,[empty],4.2.10,[empty],[empty],Proprietary
Erdas Imagine,Advanced remote sensing and GIS ability; handles multispectral images,ERDAS  Inc.,1980,2016 (16),June 14  2016,[empty],Proprietary
Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,2010,1.99.55,[empty],[empty],Freeware
Fotografix,Freeware  portable image editor,L. Madhavan,April 14  2009,1.5,[empty],[empty],Freeware
F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,2005,0.8.2,[empty],[empty],GPLv2
G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,October 2008,1.7.9,[empty],[empty],CeCILL
GIMP,Free image editor and graphics creator,Spencer Kimball  Peter Mattis,January 1996,2.10.8,November 8  2018,[empty],GNU (L)GPLv3+ v2.7+[2]
GimPhoto,Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP)  with the intent to be a free alternative to Adobe Photoshop.,Ek Kian,[empty],1.4.3,[empty],[empty],GPLv2
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,[empty],2.2.11,[empty],[empty],GPL
GNU Paint,Free and open-source raster graphics editor,Andy Tai,September 10  2007,0.3.3,[empty],[empty],GPL
GrafX2,GrafX2 with a GUI similar to Deluxe Paint,Sunset Design (Guillaume Dorme  Karl Maritaud),1996,2.5,May 19  2018,[empty],GPL
GraphicConverter,Image viewer  converter  organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins,Thorsten Lemke,1992,10,[empty],[empty],Proprietary
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,2002,1.3.21,[empty],[empty],MIT
gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,2001,3.4.0,[empty],[empty],GPL3
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,October 2009,2.15.37,[empty],[empty],Proprietary
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,August 2004,5.0.28,[empty],[empty],Proprietary
ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),1997,1.46m,[empty],[empty],Public Domain
ImageMagick,Command line software suite for displaying  converting  and editing raster image files,ImageMagick Studio LLC,1990,6.7.7-7,[empty],[empty],Apache 2.0
iPhoto*,Image organizer and basic editor for macOS; replaced by Photos,Apple Inc.,2002,9.6,[empty],[empty],Proprietary
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,1996,4.44[3],December 20  2016,[empty],Freeware
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,2004,3.0.3,[empty],[empty],Proprietary
Kolourpaint,[empty],KDE,2004,1.2.2,[empty],[empty],BSD
Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,2005,4.1.1,July 17  2018,[empty],GPL
LazPaint,Free multiplatform layered image editor,circular,2011,6.2,[empty],[empty],GPL
LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,2005,2.8,December 1  2018,[empty],Proprietary
MacPaint*,Obsolete basic editor,Bill Atkinson,1984,2.0,[empty],[empty],Proprietary
Microsoft Office Picture Manager*,Basic image editor,Microsoft,2002,14.0,[empty],[empty],Proprietary
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,1985,6.1,[empty],[empty],Proprietary
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,2000,3.01,[empty],[empty],Proprietary
MyPaint,Digital painting Application,Martin Renold,March 12  2005,1.2.1,January 21  2017,[empty],GPL2
OpenCanvas,[empty],Portalgraphics,2000,4,[empty],[empty],Proprietary
paint.net,Freeware image editor and graphics creator based on the .Net framework,Rick Brewster  et al.,May 6  2004,4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),October 2  2017,[empty],Freeware[4][5]
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,1984,5,[empty],[empty],Proprietary
Pencil2D,2D graphical animation software.,Pascal Naidon,[empty],0.4.4,[empty],[empty],GPL
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,[empty],0.2.7,[empty],[empty],GPL
Photofinish*,[empty],ZSoft Corporation,1993,2,[empty],[empty],Proprietary
Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,1995,HDR 7.0,[empty],[empty],Proprietary
PhotoLine,Image editor with advanced features,Computerinsel (Germany),1995,20.53,2018,€59,Proprietary
PhotoPerfect*,Image editor with some advanced features,Arcadia Software AG  Joachim Koopmann Software,2002,2.9,[empty],[empty],Proprietary
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,2014,1.0,[empty],[empty],Proprietary
Photo Raster,Advanced online photo editor,David Levinsky,2012,0.9,[empty],[empty],Proprietary
