Name,Creator,First release date,Latest stable version,Latest release date,License,Language,Web application framework,CMS extension
AbanteCart Software,Belavier Commerce  LLC,2011,1.2.13[1],2018-08-19,OSL 3.0,PHP,Model-View-Controller,integrated  and 3rd party extensions
Apache OFBiz,Apache Software Foundation,2007,16.11.05[2],2018-10-02,Apache,Java,Apache OFBiz,integrated  and 3rd party extensions
Batavi,Batavi,?,1.3[3],2013-11-28,GPL,PHP,[empty],[empty]
Bigcommerce,Bigcommerce Inc,?,Continuous/SaaS,Continuous/SaaS,Proprietary,PHP,[empty],[empty]
Drupal Commerce,Drupal Commerce,2011-08-23,2.6[4],2018-04-06,GPL,PHP,[empty],Drupal
KonaKart,DS Data Systems UK Ltd,?,8.8.1.0[5],2018-02-13,GNU LGPL,Java,[empty],[empty]
LemonStand,Limewheel Creative Inc.,?,1.5.52,2011-06-03,Proprietary,PHP,[empty],[empty]
Magento,Varien,2007-08-13,2.2.4[6],2018-05-02,OSL 3.0,PHP,Zend Framework,[empty]
Miva Merchant,Miva  Inc.,?,9,2014-11-17,Proprietary,MIVA Script,[empty],[empty]
nopCommerce,Nop Solutions Ltd,2008-10-23,3.90[7],2017-03-14,GPL,C#,ASP.NET MVC,[empty]
OpenCart,OpenCart Ltd.,1999-05-11,2.3.0.2[8],2016-08-01,GPL,PHP,[empty],[empty]
osCommerce,osCommerce,2000-03,2.3.4[9],2014-06-05,GNU GPL,PHP,[empty],[empty]
pimcore,pimcore GmbH,2010,5.1.1[10],2017-03-22,BSD,PHP,Symfony[11],pimcore
PrestaShop,PrestaShop SA,2007-08-15,1.7.5.0[12],2019-01-07,OSL 3.0,PHP,Model-View-Controller,[empty]
ProStores (discontinued),ProStores Inc.,?,10.3,2011-05-17,Proprietary,PHP,[empty],[empty]
Sana Commerce,Sana Commerce,?,SC v 9.0 [13],2015-02-15,Proprietary,C#,ASP.NET WebForms and ASP.NET MVC,[empty]
Shopify,Shopify,2006[14],Continuous/SAAS[15],Continuous/SAAS,Proprietary,Ruby,Ruby on Rails,[empty]
Spree Commerce,Sean Schofield,2007,3.3.1[16],2017-09-15,BSD,Ruby,Ruby on Rails,[empty]
Storehippo,Hippo Innovations P Ltd,2014,Continuous/SAAS,Continuous/SAAS,Proprietary,Node.js,MEAN (software bundle),[empty]
SupaDupa,SupaDupa,?,Continuous/SAAS,Continuous/SAAS,Proprietary,Ruby,Ruby on Rails,[empty]
uCoz,uCoz Media,?,Continuous/SAAS,Continuous/SAAS,Proprietary,Perl,[empty],[empty]
Virto Commerce,Virto Commerce Development Team,2011-02-02,2.13.14,2017-08-08,OSL 3.0 + advertising clause,C#,[empty],[empty]
VirtueMart,Max Milbers and Team,?,3.2.2[17],2017-05-17,GPL,PHP,[empty],Mambo or Joomla!
WooCommerce,WooThemes,2011[18],3.4.4[19],2018-07-25,GPL,PHP,[empty],WordPress
Zen Cart,Zen Ventures,2003-06[20],1.5.6[21],2018-12-10[±],GPL,PHP,[empty],[empty]
[empty],Creator,First release date,Latest stable version,Latest release date,License,Language,Web application framework,CMS extension
