[empty],RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Picasa*,Yes,Import,Import,Yes,No,[empty],Import,No,Import,No,No,No,[empty],[empty]
PicMaster,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,[empty],[empty]
PixBuilder Photo Editor,?,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,No,No,?,[empty],[empty]
Pixelmator,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,[empty],[empty]
Pixia,?,Yes,No,Yes,No,[empty],Yes,Yes,Yes,No,No,No,[empty],[empty]
PMview,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,[empty],[empty]
Project Dogwaffle,?,Yes,No,Yes,No,[empty],No,Yes,No,No,No,No,[empty],[empty]
QFX,?,Yes,Yes,Yes,No,No,?,Yes,Yes,No,No,?,[empty],[empty]
RawTherapee,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,[empty],[empty]
Seashore,?,Partial,Partial,Yes,Partial,[empty],Yes,Yes,?,?,Yes,?,[empty],[empty]
Serif PhotoPlus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,[empty],[empty]
Tux Paint[45],No,Yes,Import,Import,No,No,Yes,No,No,No,No,No,[empty],[empty]
TVPaint,?,Yes,Yes,Yes,No,[empty],Yes,Yes,Yes,No,No,Yes,[empty],[empty]
Ulead PhotoImpact*,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Partial,Import,No,Yes,[empty],[empty]
Ultimate Paint*,?,Yes,Yes,Yes,No,[empty],Yes,No,No,No,No,Yes,[empty],[empty]
WinImages,?,Yes,Yes,Yes,No,[empty],Yes,Yes,Yes,No,No,?,[empty],[empty]
Xara Photo & Graphic Designer,Yes,Yes,Yes,Yes,Yes,Import only,Yes,Yes,Yes,No,No,Yes,[empty],[empty]
XnView,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Import,Yes,[empty],[empty]
XPaint,No,Yes,Yes,Yes,No,[empty],Yes,Yes,No,No,No,No,[empty],[empty]
Zoner Photo Studio,Yes,Yes,Yes,Yes,Import only,Yes,Yes,Yes,Import only,Import only,No,Yes,[empty],[empty]
