Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Custom ringtones,Yes,Yes[461],7.10.7720.0+[462],Yes,Yes,Yes,Yes
Custom SMS/MMS tones,Yes[463],5+[464],8 GDR3+[75],Yes[465],?,Yes,No
Custom vibrate alert patterns,No [466] possible on some Samsung devices such as Galaxy S III  but limited[467],5+[468][469],No,Yes[465],?,API available for 3rd party apps,No
Dismiss repeating alarm clock before trigger,4.4+[470],No[471],No,No,No,?,Yes
Tap to snooze[472],3rd party apps[473],Yes,No,No,No,?,Yes
