Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Bluetooth keyboard,2.3+;[369] previous versions via 3rd party software[370],Yes[371],8.1u2+[372],Yes[373],No,Yes[374][375],Yes
USB keyboard,3.1+[369],With Camera Connection Kit[376],10+ some devices[377],Yes[373],No,?,Yes
Interchangeable external memory cards,Yes[378],Only for photo/video import with an optional accessory,8+[379],Yes[380],Yes[381],Yes,Yes
