Name,Release date,RTM build,Current version,Status support,Codename,Based on (kernel),Supported architectures
Windows Pocket PC 2000,2000-04-19,[empty],[empty],Unsupported (2007-09-10),Raiper,CE 3.0,[empty]
Windows Pocket PC 2002,2001-10-01,[empty],[empty],Unsupported (2008-10-14),Merlin,CE 3.0,[empty]
Windows Mobile 2003,2003-06-23,[empty],[empty],[empty],Ozone,CE 4.20,[empty]
Windows Mobile 5.0,2005-05-9/12,[empty],[empty],[empty],Magneto,CE 5.0,[empty]
Windows Mobile 6.0,2007-02-12,[empty],[empty],[empty],Crossbow,CE 5.2,[empty]
Windows Mobile 6.1,2008-04-01,[empty],[empty],[empty],[empty],[empty],[empty]
Windows Mobile 6.5,2009-05-18,[empty],[empty],[empty],[empty],[empty],[empty]
