Other software,GUI,CLI,Other,Programming language,Based on
ADCCore,No,No,No,C#,CoreDC
DCBouncer,No,Yes,No,C++,[empty]
DC-Hublink,Yes,No,No,Visual Basic,[empty]
DCWatch,No,Yes,No,Java  Lua,Embla
Embla,No,No,No,Java,[empty]
FlowLib,No,No,No,C#,[empty]
NetChatLink,Yes,No,No,Object Pascal (Delphi),[empty]
Announcer Bot,No,No,No,Lua,[empty]
Certmanager,Yes,No,No,wxLua,[empty]
ADC hub,GUI,CLI,Other,Programming language,Based on
