Name,FAT16  dosfs; FAT32  vfat,NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,RAM disk  tmpfs,ZFS,Other special file systems
Linux,Yes,Yes[Note 1][Note 2],Yes,Yes,Yes,Yes,Yes[Note 3],Yes[32],Yes,Yes[Note 4],Yes,Yes[Note 3],Yes,Yes,Yes,Yes,Yes,Yes,9P [Note 5] FUSE [Note 5] sysfs [Note 5] configfs [Note 5] Reiser4 [Note 5][Note 6] JFS  Btrfs  UnionFS  Ext4
FreeBSD,Yes,Yes[Note 3][Note 2],Yes,Yes[Note 3],Yes[Note 1],Yes[Note 3],Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,FUSE  nullfs  UnionFS
NetBSD,Yes,Yes[Note 3][Note 2],Yes,[empty],No,No,Yes,Yes,[empty],Yes[Note 3],No,No,Yes,Yes[Note 3],Yes,Yes,Yes,Yes,PUFFS  LFS  EFS
OpenBSD,Yes,Yes[Note 3],Yes,[empty],No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,AFS
DragonFly BSD,Yes,Yes[Note 3],Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes[Note 7],Yes,Yes,Yes,No,HAMMER  nullfs  PUFFS
OpenSolaris  illumos,Yes,Yes [Note 2][Note 8],No,No,No,No,Yes,[empty],No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,SMB (native)  QFS
AuroraUX,Yes,Yes [Note 2][Note 8],Yes,Yes,No,No,Yes,[empty],No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,SMB (native)  QFS
Darwin  OpenDarwin,Yes,Yes[Note 3][Note 2],[empty],[empty],[empty],[empty],Yes,[empty],Yes,Yes,[empty],[empty],Yes,Yes,Yes,Yes,[empty],[empty],[empty]
MINIX,Yes,No,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,No,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeDOS,Yes,No,No,No,No,No,No,[empty],[empty],[empty],No,No,Yes,[empty],[empty],[empty],Yes,[empty],[empty]
Genode,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Extensible VFS layer
Haiku,Yes,Yes [Note 2],Yes [Note 9],Yes [Note 9],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,Yes,Yes,Yes,No[Note 10],[empty],[empty],[empty]
KolibriOS,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],Yes[Note 3],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,[empty],[empty],[empty],Yes,[empty],[empty]
MenuetOS,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GNU,Yes,[empty],Yes,Yes[Note 11],[empty],[empty],Yes[Note 12],[empty],[empty],[empty],[empty],[empty],Yes,[empty],Yes,[empty],Yes,No,[empty]
ReactOS,Yes,[empty],Yes,No,No,No,No,[empty],[empty],[empty],No,No,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
L4  Fiasco  Pistachio,Yes,No,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Plan 9,Yes,[empty],Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Fossil  Venti  most system services
AROS,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,[empty],SFS  AFFS
Syllable,Yes,Yes[Note 3],Yes[Note 3],Yes[Note 3],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,Yes,[empty],[empty],[empty],Yes,[empty],AFS
Inferno,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,[empty],kfs  most system services
FreeRTOS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],No,[empty]
eCos,Yes,[empty],Yes[Note 3],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,[empty],MMFS  ROMfs  JFFS2  YAFFS
RTEMS,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,[empty],Yes,[empty],TarFS  TFTP FS  IMFS  miniIMFS
HelenOS,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,[empty],locfs  exFAT
E/OS,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes[Note 13],Yes,No,Yes,Yes,Yes,[empty],[empty]
Name,FAT16  dosfs; FAT32  vfat,NTFS,Ext2,Ext3,XFS,ReiserFS,UFS,UFS2,HFS,HFS+,MINIXfs,BFS,ISO 9660,UDF,NFS,SMBFS,RAM disk  tmpfs,ZFS,Other special file systems
