SecureSafe,Windows  OS X  Android  iOS,Yes,[empty],[empty],Yes,No,[empty],No,No,No,No,Yes,Yes,No,No,[added],[added],[added]
SpiderOak,Windows  OS X  Debian  Fedora  Slackware  Android  iOS,No,[empty],[empty],No,[empty],[empty],Yes[22],No,[empty],No,[empty],[empty],Yes[23],Yes,[added],[added],[added]
ShareFile,Windows  OS X  Android  iPhone,Yes,[empty],Yes,[empty],[empty],[empty],Yes[24],Yes,[empty],Yes,[empty],Yes,[empty],Yes,[added],[added],[added]
SugarSync,Windows  OS X  Android  BlackBerry  iPhone  Windows Mobile,No,No,[empty],Yes,[empty],[empty],Yes[25],Yes,Yes,[empty],Yes,[empty],[empty],[empty],[added],[added],[added]
SyncBack,Windows,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty],[empty],Yes,[empty],[empty],[added],[added],[added]
Syncdocs,Windows  web app,Beta versions only,Yes,[empty],Yes,No,Yes,Yes,Yes,Yes,Microsoft Word only[26],Yes,[empty],[empty],[empty],[added],[added],[added]
Synchronize It!,Windows,No,[empty],[empty],No,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
Syncplicity,Windows  OS X  Android  iPhone  Windows Mobile,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],Yes,Yes,[empty],No[27],No,[added],[added],[added]
Tonido,Windows  OS X  Linux  Android  BlackBerry  iPhone  Windows Phone,Yes,Yes,[empty],Yes,No,Yes,No,Yes,Yes,Yes,Yes,[empty],[empty],[empty],[added],[added],[added]
Tresorit,Windows  OS X  Linux  Android  BlackBerry  iOS  Windows Phone,Limited,Yes,Yes,Yes,[empty],Yes  for Windows,Yes,[empty],[empty],[empty],Yes,Yes,No,[empty],[added],[added],[added]
Ubuntu One (discontinued 2 April 2014),Windows  OS X  Ubuntu  iOS  Android[28],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
Wuala (discontinued),Windows  OS X  Debian  Ubuntu  Android  iOS,Yes,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
ZumoDrive (discontinued),Windows  OS X  Linux  Android  iPhone  Palm webOS,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
Zetta.net,Windows  OS X  Linux,No,[empty],[empty],Yes,[empty],Yes,Yes,Yes,Yes,[empty],Yes,Yes  Preserve file name case & file metadata,Yes,Yes,[added],[added],[added]
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync,[added],[added],[added]
