Distribution,x86,x86-64,ia64,ppc[62],ppc64,sparc32,sparc64,arm,hppa[63],loongson,mips[64],sh,s390,s390x,alpha[65],m68k[66],riscv
Alpine Linux,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
Arch Linux,Yes Unofficial[67] Official discontinued 2017-11-08[68],Yes,No,Discontinued unofficial port,No,No,No,Yes Unofficial[69],No,Discontinued. Unofficial port[70],No,No,No,No,No,No,[added]
BackTrack,Discontinued from BackTrack 5 and superseded by Kali Linux[71],Discontinued from BackTrack 5 and superseded by Kali Linux,No,No,No,No,No,Discontinued from BackTrack 5 and superseded by Kali Linux,No,No,No,No,No,No,No,No,[added]
BLAG,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Bodhi Linux,Yes,Yes,No,No,No,No,No,Discontinued 2013-10-23[72],No,No,No,No,No,No,No,No,[added]
BOSS Linux,Yes,Yes,No,Yes,Yes,No,No,?,No,No,No,No,No,No,No,No,[added]
CentOS,AltArch,Yes,Discontinued 3.5-3.8 4.1-4.7[73],Beta  Discontinued 4.0,AltArch,Beta 4.2[73][74],No,AltArch,No,No,No,No,Discontinued 3.5-3.8 4.1-4.7[73][75],Discontinued 3.5-3.8 4.1-4.7[73][75],Discontinued 4.2-4.3[73][76][77],No,[added]
Chakra,No,Yes,No,No,No,No,No,?,No,No,No,No,No,No,No,No,[added]
CRUX,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Debian[78],Yes,Yes 4.0+,Discontinued 3.0-7.0[79],Discontinued 2.2-8,Yes,Discontinued 2.1-4.0[80],Discontinued -7[81],Yes 2.2+,Discontinued 3.0-5.0,Yes,Yes 3.0+,In progress,Discontinued 3.0-7,Yes 7+,Discontinued 2.1-5.0,Discontinued 2.0-3.1,In progress[82]
Devuan,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
Dragora GNU/Linux-Libre,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
dyne:bolic,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Fedora[83],Yes,Yes,Discontinued from Fedora 9 [84],Discontinued from Fedora 17,Yes,No,Inactive from Fedora 12[85],Yes[86],No,In progress,Inactive from Fedora 13 [87],No,No,Yes,No,No,In progress[88]
Finnix,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,[added]
Gentoo[89],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[90],Yes,Yes[91],Yes[92][93],Yes,Yes,Yes,Yes,Yes,[added]
gNewSense,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,[added]
GuixSD[94],Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Hyperbola GNU/Linux-libre,Yes,Yes,No,No,In progress[95],No,No,No,No,No,No,No,No,No,No,No,In progress[96]
Kali Linux,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
LibreCMC,No,No,No,No,No,No,No,No,No,No,Yes XBurst,No,No,No,No,No,[added]
Manjaro Linux,Yes Unofficial[97],Yes,No,No,No,No,No,Yes Unofficial[98],No,No,No,No,No,No,No,No,[added]
MEPIS,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
Musix GNU+Linux,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
OpenELEC,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
openSUSE[99],Discontinued 42.1,Yes,No,No[100],No[100],No,partial[101],partial[102],No,No,No,No,No,No,No,No,[added]
OpenWrt[103],Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,[added]
Oracle Linux[104],Yes,Yes,Discontinued 5[105],No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Parabola GNU/Linux-libre,Yes,Yes,No,No,Test release[106],No,No,Yes  ARMv7[107][108],No,Discontinued[109],Discontinued[109],No,No,No,No,No,Test release[110]
Red Flag Linux,Discontinued 8.0[111],Discontinued 8.0[111],Discontinued 3[112],No,Discontinued 3[112],No,No,No,No,No,No,No,No,No,No,No,[added]
Red Hat Linux[113],Discontinued 9.0,No,Discontinued 7.1-7.2,Test release 5.1[114],No,Discontinued 4.0-4.2 5.1-6.2,Test release 5.1[114],No,No,No,Test release 5.1[114],No,Discontinued 7.2,Yes,Discontinued 2.1-7.1,Test release 5.1[114],[added]
Red Hat Enterprise Linux[115],Discontinued 2.1-6[116],Yes 3+,Discontinued 2.1-5[117],Yes 3+,Yes 3+,No,No,No,No,No,No,No,Discontinued 3-4[118],Yes 3+,No,No,[added]
Sabayon Linux,Discontinued,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
Scientific Linux,Yes,Yes,Discontinued 3-4,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
SHR,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
Slackware,Yes,Yes,No,No,No,Discontinued ?[119],No,Yes,No,No,No,No,Discontinued ?[120],Discontinued ?[120],Discontinued 8.1[121],No,[added]
Solus,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Source Mage GNU/Linux,Yes,Yes,No,Yes,No,No,No,No,No,?,No,No,No,No,No,No,[added]
