Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[286],Yes[287][288][289],Yes,Yes,Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[290][291],Yes[292],Yes[293],Yes,No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[294],5+[295],Yes[296],Yes,No,Yes,Yes
Autoexpanding text replacements,Yes,5+[297],Yes[296],Yes[298],?,?,?
Keyboard next word prediction,No [299] 3rd party software[300],8+[301],Yes[302],Yes,No,Yes,Yes
Keyboard cursor controller,No,12+;[303] 9-11: Only on devices with 3D Touch;[304],Yes[305],No,No,No,Yes
Optical character recognition input method,No[306],11+: Notes app;[307] 8+: Only for inputting credit card details[308],No,No,No,No,No
Third party input methods,Yes[309],8+,No,No  only for Android apps through sideload of Android keyboard[310],?,?,?
Gesture text input,4+[311],8+: 3rd party software like SwiftKey,8.1+[312],Yes,?,No[313],No
Emoji support,4.4+[314],Yes[315],Yes[316],10.2+[317],?,3rd party software,Yes
