Name,Users,Projects,Alexa rank (lower = more popular)
Assembla,Unknown,7005526581000000000♠526.581+[44],7004263660000000000♠26.366 as of 18 October 2017[update][45]
Bitbucket,7006500000000000000♠5.000.000[46],Unknown,7002696000000000000♠696 as of 18 October 2017[update][47]
GitHub,7007240000000000000♠24.000.000[48],7007690000000000000♠69.000.000[48],7001600000000000000♠60 as of 18 October 2017[update][49]
GitLab,7005100000000000000♠100.000[50],7005546000000000000♠546.000[51][l],7003242200000000000♠2.422 as of 18 October 2017[update][52]
GNU Savannah,7004771370000000000♠77.137[53],7003382500000000000♠3.825[53],7004503230000000000♠50.323 as of 18 October 2017[update][54]
Launchpad,7006396528800000000♠3.965.288[55],7004408810000000000♠40.881[56],7003648000000000000♠6.480 as of 18 October 2017[update][57]
OSDN,7004548260000000000♠54.826[58],7003629400000000000♠6.294[58],7003859200000000000♠8.592 as of 18 October 2017[update][59]
Ourproject.org,7003635300000000000♠6.353[60],7003184600000000000♠1.846[60],7006127899500000000♠1.278.995 as of 18 October 2017[update][61]
Phabricator,Unknown,Unknown,Unknown
SourceForge,7006370000000000000♠3.700.000[62],7005500000000000000♠500.000[62],7002347000000000000♠347 as of 18 October 2017[update][63]
Name,Users,Projects,Alexa rank (lower = more popular)
