LightStream Picture,[empty],[empty],[empty],.lsp,[empty],[empty],[empty]
Logluv TIFF,[empty],Greg Ward,TIFF,[empty],[empty],Supported by Libtiff,[empty]
Mac Paint,[empty],[empty],[empty],.pnt  .mac,[empty],[empty],[empty]
MDC,Minolta RD175 Format,Minolta,[empty],.mdc,[empty],[empty],[empty]
MET,OS/2 Metafile Format,[empty],[empty],.met,[empty],Supported by SAS/GRAPH,[empty]
MNG,Multiple-image Network Graphics,[empty],PNG,.mng,video/x-mng,[empty],No
MO:DCA,MO:DCA,IBM,[empty],.mda  .ica  .mmr  .afp,image,IBM's Content Manager and Image Plus,Yes
MSP,Microsoft Paint,Microsoft,[empty],.msp,[empty],[empty],[empty]
MYD,Myd format,[empty],[empty],.myd,[empty],[empty],[empty]
MYV,Myv vector format,[empty],[empty],.myv,[empty],[empty],[empty]
NEF,Nikon RAW,Nikon,TIFF,.nef,[empty],[empty],[empty]
MEF,Mamiya RAW,Mamiya,TIFF,.mef,[empty],[empty],[empty]
Neochrome,[empty],Dave Staugas,[empty],.neo,[empty],An application on Atari ST,[empty]
MAG,MAKIchan Graphic loader,Woody-Rinn,[empty],.mag,[empty],Used by many old Japanese applications.,[empty]
MAKI,MAKIchan net format,Woody-Rinn,[empty],.mki,[empty],[empty],[empty]
MIFF,Magick image file format,ImageMagick Studio,[empty],.miff,[empty],Supported by ImageMagick,[empty]
MSA,Misachan File,Hirohumi Iguchi,[empty],.msa,[empty],Supported by old Japanese applications,[empty]
MSL,Magick Scripting Language,ImageMagick Studio,[empty],.msl,[empty],Supported by ImageMagick,[empty]
MVG,Magick Vector Graphics,ImageMagick Studio,[empty],.mvg,[empty],Supported by ImageMagick,[empty]
MPC,Magick Persistent Cache image file format,ImageMagick Studio,[empty],.mpc,[empty],Supported by ImageMagick,[empty]
MRW,Minolta RAW,Minolta,[empty],.mrw,[empty],[empty],[empty]
NSK-TIFF,NSK-TIFF,Nihon Shinbun Kyokai (日本新聞協会),TIFF,[empty],[empty],[empty],[empty]
OAZ,OAZ Fax,Oaz Communications,[empty],.oaz,[empty],Used by NetFax Manager,[empty]
ODG,OpenDocument drawing,[empty],[empty],.odg,[empty],[empty],[empty]
ORA,OpenRaster,freedesktop.org,OpenDocument/XML,.ora,[empty],DrawPile  GIMP  Krita  MyPaint  Nathive  Pinta,No
ORF,Olympus RAW,Olympus,TIFF,.orf,[empty],[empty],[empty]
ORTL,Ortelius file format,Mapdiva  LLC,[empty],.ortl,[empty],Vector image/map format; used by Ortelius,[empty]
PAM,portable arbitrary map file format,[empty],[empty],.pam,image/x-portable-arbitrarymap,[empty],No
Panasonic RAW,[empty],Panasonic,TIFF,.raw  .rw2,[empty],[empty],[empty]
PCIF,Polyomino Compressed Image Format,[empty],[empty],.pcf,[empty],[empty],[empty]
PhaseOne P25/P30/P45 RAW,[empty],Phase One,[empty],.tif  .tiff,[empty],[empty],[empty]
PictureGear Pocket Image,[empty],[empty],[empty],.prc,[empty],[empty],[empty]
PBM,Portable Bitmap File Format,[empty],[empty],.pbm,image/x-portable-bitmap,[empty],No
PCD,Kodak ImagePac Photo CD,Kodak,[empty],.pcd,image/jpcd,[empty],[empty]
PCF,Pixel Coordination Format,[empty],[empty],.pcf,image/pcf,[empty],[empty]
PCX,ZSoft PC Paintbrush File,ZSoft Corporation,[empty],.pcx  .pcc  .dcx,image/x-pcx,Dated rle packed indexed image format  used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode.,?
