Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Unified Inbox,No [244] but 3rd party apps available[245],Yes,7.5+[246],Yes,Yes,Yes,?
Email sync protocols supported,POP3  IMAP  MAPI,POP3  IMAP  MAPI  ActiveSync[247],POP3  IMAP  MAPI  ActiveSync,BES  BIS  Push e-mail  10+: POP3  IMAP  ActiveSync,POP3  IMAP,POP3  IMAP  ActiveSync,?
Non-carrier-based integrated messaging,Google Hangouts,5+ (iMessage)[248],Skype[249],BBM,?,3rd party software,3rd party software
Visual voicemail,2.1+[250],Yes,Yes[251],Yes,?,?,?
Call log duration,Yes[252],Yes[253],8.1+[254],Yes[255],?,Yes,Yes
Multiple mobile phones per contact,Yes,Yes,Yes,Yes,?,Yes,Yes
Contact groups,4+[256] or 3rd party software[257],Via iCloud or 3rd party software[258],7.5+[259],Yes,Yes,No[260],?
Voice over IP,Yes (SIP)[261] or 3rd party software[262],FaceTime; 3rd party software[263],8+ Skype[264],BBM 7+[265] or 3rd party software[266],No[267],3rd party software,3rd party software
NFC payment software,Available on any device that supports the hardware. Android Pay for NFC payments available in Play Store.[268],8+: iPhone 6/6 Plus and later (iPhone 5 and later if used with Apple Watch)  via Apple Pay,8+[269],Yes[270],No,No,No
Tethering,Mobile Wi-Fi Hotspot  USB  Bluetooth,4.3+: Personal Hotspot (Wi-Fi  Bluetooth  USB; carrier dependent),Internet Sharing (Wi-Fi Hotspot) [271] Bluetooth (8.1 Update+),USB  Bluetooth  Mobile Wi-Fi Hotspot,microUSB  Bluetooth 3.0  Mobile Wi-Fi Hotspot,Mobile Wi-Fi Hotspot  USB  Bluetooth,Mobile Wi-Fi Hotspot
USB On-The-Go,3.1+[272][273],No  only for connecting cameras,10+[274],10.2+[275],No,Yes,Yes
Direct file transfer over Wi-Fi Direct,4+[60] and selected devices[276][277],No  3rd party software on jailbroken devices,No,10.2+,No  was available on bada 2+ [278] but removed on Tizen,No[279],No
DHCP v4,Yes,Yes,?,Yes,?,?,?
DHCP v6,No,Yes,?,Yes (Manually selected; Wi-Fi only),?,?,?
Direct file transfer over Bluetooth,2+[280],AirDrop: 7+: Between iOS only; 8+: Between Mac/iOS only. (Note: AirDrop utilizes Wi-Fi as well),8+[281],Yes,No  was available on bada [282] but removed on Tizen,Yes[283] but limited to images  videos and contacts,No
Direct file transfer over NFC,4+[60],No,8+[284],7.1+[285],2+[278],No,No
