iDrive,Yes,Yes  but you have to manually run perl scripts.[49],Yes,Yes,Yes,Yes[50],No,[empty],No,No,Yes[51],[empty],iDrive,[empty],Yes,Yes,Yes,Yes,unknown,5 GB,[empty],Yes,[empty],[empty]
Infrascale,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,Yes,No,Yes,Infrascale,No,Yes,Yes,Yes,Yes,United States  Canada  United Kingdom  South Africa  Australia  New Zealand  Jamaica,No,No limit,Yes,Optional,[empty]
Iperius Online Storage,Yes,No,No,[empty],[empty],Yes[52],Optional[52],?,50  100  200  500 GB,No,No,Yes,Iperius Online Storage,[empty],Yes,Yes,No,Iperius Online Storage,[empty],[empty],No limit,[empty],[empty],[empty]
Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[53],Yes,Yes,Intronis,Yes,Yes[54],Yes,No,Yes[55],United States  Canada,No,No limit,Yes,Optional,Yes
Jumpshare,Yes,No,Yes,No,Yes,Yes[56],[empty],[empty],Yes,No,No,Yes[57],Jumpshare,[empty],Yes,Yes,Yes,No,United States  Europe,2 GB,250 MB on free  Unlimited on Jumpshare Plus,[empty],[empty],Yes
Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3,Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,Physical media restore9,Server location10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting
Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[58],Yes[58],Yes,[empty],[empty],Yes,Yes,Jungle Disk,Yes[59],Yes,Yes,Yes,[empty],United States  Europe,No,No limit in Backup Vault,Yes,[empty],Partial  Amazon AWS[35][60] or Rackspace Cloud Files.
KeepVault,Yes,No,No,[empty],[empty],Yes[61],Yes[62],?,Yes,No,Yes,[empty],KeepVault,[empty],[empty],Yes,[empty],[empty],United States,[empty],20 GB,[empty],[empty],[empty]
Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[63],Yes,Yes,Yes,Yes,United Kingdom,No,No limit,Yes,[empty],[empty]
MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,[empty],United States,10 GB,No Limit,No,No,[empty]
Mega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[64],Yes,No,Yes,Yes,Mega Ltd.,No,Yes,Yes  using MEGAsync client,Yes,No,Europe  New Zealand,15 GB + 35 GB first 30 days,No limit,No,No,[empty]
