Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Multitasking,Yes,7+;[418] 4-6: Limited[419],8+ [420] 7.5: Limited,Yes,2+[157],Yes,Yes
Quick app switching,7+[421],9+: via 3D Touch;[422] 5+: only on iPad[423],No,No,No,No,Yes
Document-centric multitasking,5+[424],No,No,No,No,No,No
Split-screen app usage,7+  some manufacturers earlier[425],9+: only on iPad with 2 GB RAM or more[426],No,No  3rd party software[427],Yes[428],No [429],Tablet-only
Desktop interactive widgets,Yes,10+: App icons via 3D Touch and/or dedicated widget screen[430],No (Live Tiles are not interactive)[431],No,No,Yes,No
Lock screen widgets,Yes (Notifications and settings). Full Widgets on Android 4.2-4.4 only.[432][433],Media player  voicemail  camera;[434] 5+: Notifications; 7+: Control Center 8+: Interactive Notifications[435] 10+: Full widgets[430],Media Player; 8+: Live Apps and notifications[436],Yes  interactive notifications  camera  alarm,Media player; Notifications (SMS  call),Yes,No
Notification view widgets,4.1+: Google Now and possible with 3rd party apps,8+,No,Yes  BB 10.2,No,Yes,No
Quick settings toggles,2+[437],7+[438],8.1+[93],10+  customizable in 10.2.1+[439],No,Via the Patchmanager app[440],Yes
Search multiple internal apps at once,Yes,Yes,8.1+[441],Yes,Yes,No[442],Yes
Settings search,5+ or 3rd party software like LineageOS[443],9+[444],8.1update2+[45],Yes,No,No,Yes
Search all fields of internal objects,Only search Contacts name field but not any other field[445],6+[446],Contacts are searched by name  nick and company [447] but not other fields like address or notes[448],Yes[449],Only searches contacts by name,First name  last name  nickname  also the multiple field called "Details"[450]|?,[added]
Core apps missing search,Calendar[451] (available since 3+ and HTC Sense),Bookmarks[452],Video[453],?,?,?,?
Phone number links to dialer,Available in stock Android  but not all devices enable it.[454],Yes,Yes,Yes,Yes  but not in browser,Yes,Yes
Addresses links to maps,In Contacts  but not in Calendar[455] nor in Gmail[456],Yes[457],Yes[458],Yes[459],?,Yes,?
Dates links to calendar,No,Yes[460],Yes,Yes,Yes,Yes,?
