Model,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),Memory,Max. memory,AGP,Southbridge,Features,Notes
nForce 220,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 single channel,1.5 GB,AGP 4×,MCP MCP-D,[empty],[empty]
nForce 220-D,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 single channel,1.5 GB,AGP 4×,MCP MCP-D,Geforce 2 MX IGP,[empty]
nForce 415-D,January 8  2002,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 dual channel,1.5 GB,AGP 4×,MCP MCP-D,[empty],[empty]
nForce 420-D,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 dual channel,1.5 GB,AGP 4×,MCP MCP-D,Geforce 2 MX IGP,[empty]
