[empty],Design Authority,Software license
AutoCAD DXF,[empty],[empty]
Cartesian coordinate system,[empty],[empty]
Geography Markup Language GML,Open Geospatial Consortium,?
GeoMedia,[empty],[empty]
MapInfo TAB format,[empty],[empty]
National Transfer Format,[empty],[empty]
Shapefile,ESRI,[empty]
TIGER,[empty],[empty]
Vector Product Format (VPF),[empty],[empty]
[empty],[empty],[empty]
