Client,Toolkits or SDKs,File transfer,Editing sent messages,Proxy server,Graphical emoticons,Unicode (UTF-8),Built-in games,Themes  skins,Plugin system,Third party add-ons,Scripting,Message logging,Voice messaging,Voice mail,Webcam,Offline,Cloud backup,Remote desktop assistance,Whiteboard,RTL texting
Tox,Many [d],Yes,?,Yes,Yes,Yes,Up to clients [d],Up to clients [d],Up to clients [d],Up to clients [d],Up to clients [d],Yes,Yes,No,Yes,Partial [97],[empty],No,Yes,[added]
Trillian,W32  Cocoa,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,Yes,Yes,[empty],?,Yes,[added]
WhatsApp,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,?,Yes,[empty],No,Yes,[added]
Wickr,No,Yes,?,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,[empty],No,?,[added]
Windows Live Messenger,W32,Yes,?,Yes  http  socks4/5 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,[added]
Wire,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No[98],No,Yes,[added]
Xfire,W32,Yes,?,?,No,Yes,No,Yes,Partial,Yes,No,Yes,Yes,No,No,No,[empty],No,?,[added]
Yahoo! Messenger,W32  Cocoa  GTK,Yes,?,?,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,[empty],Partial,Yes,[added]
Yuilop,?,Yes,?,No,Yes,?,No,No,No,No,?,Yes,Yes,No,No,Yes,[empty],Partial,?,[added]
Client,Toolkits or SDKs,File transfer,Editing sent messages,Proxy server,Graphical emoticons,Unicode (UTF-8),Built-in games,Themes  skins,Plugin system,Third party add-ons,Scripting,Message logging,Voice messaging,Voice mail,Webcam support,Offline messaging,Cloud backup,Remote desktop assistance,Whiteboard,RTL texting
