Distribution,Working State,Aim,Creator,Producer,Base Distribution,Installed Size (MB),Initial Release Date,Interface,Linux Kernel,Default File System,Architecture Support,Approximate Number of Pre-compiled Packages,Default Package Management Tools,Default Installer
Aurora,2009 Last Release  development stopped,ASUS Eee PC optimized,Eeebuntu community,[empty],Debian,[empty],2009-05-15,Gnome or Gnome + Netbook Remix,Array kernel (modified kernel)[2],[empty],[empty],[empty],APT,[empty]
CrunchBang Linux 11-20130119,2015-02-06 Development Stopped,Limited hardware machines,Philip Newborough,[empty],Debian,[empty],2013-01-19,Openbox,3.2.35,[empty],x86 + x86_64,[empty],APT,[empty]
Debian Eee PC,[empty],Asus Eee PC,[empty],[empty],Debian,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Debian Wheezy,[empty],[empty],[empty],[empty],Written from scratch,[empty],[empty],[empty],[empty],[empty],i386  AMD64  PowerPC  SPARC  ARM  MIPS  S390  armhf  s390x. Loongson[3],[empty],[empty],[empty]
EasyPeasy 1.6,2012 Last Release  development stopped,All netbooks,EasyPeasy Community,Jon Ramvi,Ubuntu,[empty],2010-04-24,Gnome + Netbook Remix,2.6.32,ext4,x86,[empty],APT,Ubiquity
Eeedora[4],[empty],ASUS Eee PC 701,Martin Andrews,[empty],Fedora,[empty],[empty],Xfce,[empty],[empty],[empty],[empty],RPM,[empty]
Firefly Linux 1.0 Beta 1,2009 Last Release  development stopped,[empty],Firefly Linux community,[empty],Arch Linux,[empty],[empty],LXDE,2.6.29.4,[empty],x86,[empty],Pacman,[empty]
Fuduntu,2013-04-14 Last Release  development stopped,All netbooks[5],Andrew Wyatt "Fewt",Fuduntu.org[5],None (Originally based on Fedora 14),[empty],2012-10-01,Gnome,3.6.9,ext4,x86[6] + x86_64[7],[empty],RPM + YUM,[empty]
gNewSense,[empty],Free software,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,Debian,[empty],[empty],[empty],Linux-libre 2.6.32,[empty],Loongson  x86  x86-64,[empty],APT,Ubiquity (software)
Joli OS 1.2 (formerly named Jolicloud),2013-11-22 Last Release  development stopped,All netbooks[8],Joli OS,Joli OS,Ubuntu,[empty],2011-03-09,HTML5 + Gnome,2.6.35.10,ext4,x86,[empty],APT,[empty]
Kuki Linux 2.0,2009 Last Release  development stopped,Aspire One optimized,Kuki Linux community,[empty],Ubuntu,[empty],[empty],Xfce,[empty],[empty],[empty],[empty],[empty],[empty]
Linux4One 1.5,[empty],Aspire One optimized,Linux4One community,[empty],Ubuntu,[empty],[empty],Gnome or LXDE,[empty],[empty],[empty],[empty],[empty],[empty]
Leeenux Linux v10,2016 Last Release,All netbooks,Aleksandar Ciric,[empty],Ubuntu 16.04 LTS,[empty],[empty],LXDE  XFCE,[empty],ext4,x86  AMD64,[empty],APT  Synaptic  Software center,Ubiquity
Lubuntu 15.10,2015-10-22 Active Development,Limited hardware machines,Lubuntu Community and LXDE Foundation,[empty],Ubuntu,[empty],2011-10-13,LXDE,[empty],[empty],[empty],[empty],Synaptic,[empty]
Manjaro Netbook Edition[9],2015-07-25 Active Development,All netbooks,Rob McCathie,Manjaro Linux,Arch Linux,[empty],[empty],Xfce,Intel Atom-optimized Manjaro kernel,ext4,x86  x86_64,[empty],Pamac (graphical frontend for pacman),[empty]
Midinux,[empty],All netbooks,Red Flag Linux,[empty],[empty],[empty],2007,[empty],[empty],ext3,x86,[empty],[empty],[empty]
MeeGo 1.2,2012 Last Release  development stopped,Intel Atom processor netbooks  Nokia ARM smartphones,Intel  Nokia  Maemo community,Intel  Nokia  Linux Foundation,None (it is a distribution developed out of Maemo and Moblin),[empty],2010-10-28,"Netbook User Experience" (based on Clutter),2.6.35,btrfs,x86 with SSSE3 support,[empty],RPM,[empty]
Moblin 2.1,2009-04 Last Release  development stopped,All Intel Atom processor netbooks and MID,Intel,Intel/Linux Foundation,None (borrows components for various distributions[10]),[empty],2009-11-04,Clutter,[empty],[empty],[empty],[empty],RPM (may change[10]),[empty]
OpenGeeeU 8.10,2012-08 Last Release  development stopped,[empty],Luca De Marini,[empty],Easy Peasy[11],[empty],2009-03-23,Enlightenment plus Gnome,2.6.27,ext3,x86,26000,APT,Ubiquity
Puppeee Linux 4.3X,Linpus is 64-bit only,ASUS Eee PCs with Intel Chipsets,Jemimah Ruhala,[empty],Puppy Linux 4.3.1,200MB,[empty],Choice of IceWM / OpenBox / Flwm with ROX-Filer / PcManFM / LxLauncher,2.6.33,AUFS + SquashFS + EXT2,Atom / CeleronM,[empty],Pet,PetGet
Trisquel Mini,2014-11 Last Release  development stopped,Limited hardware machines,[empty],[empty],Trisquel,[empty],2010-09,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ubuntu Netbook Edition 10.10,2010-10 Last Release  development stopped,Intel Atom processor netbooks[12],Canonical Ltd.,Canonical Ltd.,Ubuntu,[empty],2010-10-10,Unity,2.6.32,[empty],x86,32000,APT,[empty]
Distribution,Working State,Aim,Creator,Producer,Base Distribution,Installed Size (MB),Initial Release Date,Interface,Linux Kernel,Default File System,Architecture Support,Approximate Number of Pre-compiled Packages,Default Package Management Tools,Default Installer
