Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Safe driving mode,3rd party software,11+[318],8 GDR3+[319],No,?,?,?
Turn-by-turn navigation,2+[320],6+[321],8+[322],10+[323],?,Yes,3rd party software
Offline maps,3rd party software Google Maps [324] Here Maps,6+[325],8+[326],3rd party software,?,3rd party software,3rd party software
Alternative routes in maps,Yes[327],5+[328][329],10+[330],?,?,3rd party software,3rd party software
