Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia 3250,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia 3600,Smartphone,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1 version  1.2,[empty]
Nokia 3620,Smartphone,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Nokia 3650,Smartphone,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Nokia 3660,Smartphone,Nokia,[empty],Symbian OS,6.1,[empty],S60 1st Edition  Feature Pack 1  version 1.2,[empty]
Nokia 5228,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5230,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5233,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5250,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5[1],[empty]
Nokia 5320,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 5500 Sport,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia 5530 XpressMusic,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5630 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 5700 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 5730 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 5800 Navigation Edition,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5800 XpressMusic,Smartphone,Nokia,[empty],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,First S60 touchscreen.First S60 5th
Nokia 6110 Navigator,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 6120 classic,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 6121 classic,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 6124 classic,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 6210 Navigator,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6220 classic,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6260,Smartphone,Nokia,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  Feature Pack 1  version 2.1,[empty]
Nokia 6290,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia 6600,Smartphone,Nokia,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  version 2,[empty]
Nokia 6620,Smartphone,Nokia,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  Feature Pack 1  version 2.1,[empty]
Nokia 6630,Smartphone,Nokia,[empty],Symbian OS,8.0a,[empty],S60 2nd Edition  Feature Pack 2  version 2.6,[empty]
Nokia 6650 fold,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6670,Smartphone,Nokia,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  Feature Pack 1  version 2.1,[empty]
