Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
Aloaha Secure Stick,Yes,No,N/A,Yes,Yes,No,No,No,NTFS  FAT32,Yes
ArchiCrypt Live,Yes[60],No,N/A,No,Yes[60][61],No,No,No,?,Yes[60][62]
BestCrypt,Yes,Yes,?,No,Yes[63],Yes,Yes,Yes,Any supported by OS,Yes[64]
BitArmor DataControl,No,Yes,?,No,Yes,Yes,No,No,NTFS  FAT32 on non-system volumes,No
BitLocker,No,Yes[65],No,Yes[66],Yes[67],Yes[68],Yes,Yes[67],Chiefly NTFS [Note 1],Yes [Note 2]
Bloombase Keyparc,No,No,N/A,Yes,Yes,Yes,Yes,No,?,?
CGD,No,No,N/A,Yes[69],Yes[70],Yes[69],No,No,Any supported by OS,Yes[69]
CenterTools DriveLock,No,Yes,Yes,No,No,Yes,No,No,Any supported by OS,Yes
Check Point Full Disk Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NTFS  FAT32,Yes
CipherShed,Yes (limited to one per "outer" container),only on Windows[71],?,No,yes with multiple keyfiles[72][73],Yes,Yes,No[74],Only Windows MBR volumes; no UEFI GPT drives  and dynamic drives discouraged[75],Yes
CryFS,No,No,N/A,No,No,Yes[76],No,No,Any supported by OS,No
CrossCrypt,No,No,N/A,No,No,No,No,No,?,No
CryptArchiver,No,No,N/A,No,No,?,No,No,?,?
Cryhod,No,Yes,Yes,No,Yes,Yes,Yes,No,Any supported by OS,No
Cryptoloop,No,Yes[77],?,Yes,No,No,Yes[citation needed],No,Any supported by OS,?
Cryptomator,No,No,N/A,No,No,Yes,Yes,No,Any supported by OS,No
CryptoPro Secure Disk Enterprise,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
CryptoPro Secure Disk for BitLocker,Yes with add-on Secure Device,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Any supported by OS,Yes
Cryptsetup / Dmsetup,No,Yes[77],?,Yes,No,No,Yes,No,Any supported by OS,Yes
DiskCryptor,No,Yes,?,No,No,No,Yes[78],No,Only Windows MBR volumes; no UEFI GPT drives,Yes[78]
DISK Protect,No,Yes[79],Yes,No,Yes[79],No,Yes,Yes,NTFS FAT32,Yes
Dm-crypt / LUKS,No,Yes[77],?,Yes,Yes,Yes,Yes,Partial[80] [Note 3],Any supported by OS,Yes
DriveCrypt,Yes[81],Yes,Yes,Yes,Yes,Yes,Yes,No,Any supported by OS,Yes
DriveSentry GoAnywhere 2,No,No,N/A,Yes,No,Yes,No,?,Any supported by OS,Yes
E4M,No,No,N/A,No,No,?,No,No,?,No
e-Capsule Private Safe,Yes[82],No,N/A,No,Yes[82],No,Yes,No,?,?
eCryptfs,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes[83],Yes
EgoSecure HDD Encryption,No,Yes,Yes,Yes,Yes,Yes,Yes[84],Yes,NTFS  FAT32,Yes
FileVault,No,No,N/A,No,Two passwords[85],Yes[85],?,No,HFS+  possibly others,No
FileVault 2,No,Yes,Yes,No,Yes,Yes,Yes[86],No,HFS+  possibly others,No
FinalCrypt,No,No,No,No,Yes,No,No,No,Any supported by OS,No
FREE CompuSec,No,Yes,?,No,No,No,No,No,Any supported by OS,No
FreeOTFE,Yes,No,N/A,Yes[87],Yes[88],Yes,Yes,No,Any supported by OS,Yes
GBDE,No,No[89],N/A,Yes,Yes[90],No[90],No[89],No,Any supported by OS,Yes
GELI,No,Yes[89],?,Yes,Yes[91],Yes[91],Yes[89],No,Any supported by OS,Yes
Loop-AES,No,Yes[92],?,Yes[92],Yes[92],Yes[92],Yes[92],No,Any supported by OS,Yes[93]
McAfee Drive Encryption (SafeBoot),Yes,Yes,Yes,Yes,Yes,Yes,Yes[84][94],Yes,Any supported by OS,Yes
n-Crypt Pro,No,No,N/A,No,No,N/A[95],No,No,?,?
PGPDisk,No,Yes[96],Yes,?,Yes,Yes[97],?,Yes,?,Yes
Private Disk,No,No,N/A,No,Yes,Yes,No,No,Any supported by OS,Yes
ProxyCrypt,Yes,No,No,No,No,Yes,Yes,No,Any supported by OS,Yes
R-Crypto,?,No,N/A,?,?,?,?,?,Any supported by OS,?
SafeGuard Easy,No,Yes,?,No,Yes,Yes,No,Yes[98],Any supported by OS,Yes
SafeGuard Enterprise,No,Yes,Yes,No,Yes,Yes,No,Yes[98],Any supported by OS,Yes
SafeGuard PrivateDisk,No,No,N/A,No,Yes,Yes,No,Yes[99],Any supported by OS,Yes
SafeHouse Professional,No,No,N/A,Yes,Yes,Yes,No,No,Any supported by OS,Yes
Scramdisk,Yes,No,N/A,No,No,No,No,No,?,Last update to web site 2009-07-02
Scramdisk 4 Linux,Yes[100],No,N/A,No,No,Yes[100],No,No,ext2  ext3  reiserfs  minix  ntfs  vfat/msdos,No
SecuBox,No,No,N/A,No,No,Yes,No,No,?,No
SecureDoc,No,Yes[101],?,Yes,Yes,Yes,Yes,Yes,?,Yes
Sentry 2020,No,No,?,No,No,No,No,No,?,No
Softraid / RAID C,No,No,?,?,?,?,Yes,?,Any supported by OS,?
Svnd / Vnconfig,No,No,N/A,No,No,Yes[102],Yes,?,Any supported by OS,?
Symantec Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes,No,No,NTFS  FAT32,Yes
Trend Micro Endpoint Encryption,No,Yes,Yes,Yes,Yes,Yes[103],Yes[104],No,Any supported by OS,Yes[105]
TrueCrypt [Note 4],Yes (limited to one per "outer" container),only on Windows[106],?,No,yes with multiple keyfiles[73][107],Yes,Yes,No[74],Only Windows MBR volumes; no UEFI GPT drives  and dynamic drives discouraged[75],Yes
VeraCrypt,Yes (limited to one per "outer" container),only on Windows[108],No,No,yes with multiple keyfiles,Yes,Yes,No,Only Windows MBR volumes; no UEFI GPT drives  and dynamic drives discouraged,Yes
CyberSafe Top Secret,Yes,No,No,No,Yes,Yes,Yes,No,Only Windows MBR volumes; no UEFI GPT drives  and dynamic drives discouraged,Yes
Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
