Name,License,Platform,Languages,Resizing,Upload,Output,IPTC Support,GeoTagging Support,Tags Categories Keywords
jAlbum,Proprietary,Windows  Mac  Linux,Multilingual,Automatic,FTP,XHTML  HTML5  CSS,Yes,Yes,[empty]
maGalleryCreator,Proprietary,Mac,English,Automatic,-,html  css,Yes,-,[empty]
