Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Default web browser/engine,Blink,WebKit,Trident (EdgeHTML after 10),WebKit,WebKit,Gecko[177],QtWebEngine (based on Blink)
Major web browser available,Chrome for Android  Opera  Firefox  Microsoft Edge,Safari  Chrome for iOS  Opera Mini  Firefox  Microsoft Edge,Internet Explorer  Opera Mini  UC Browser  Microsoft Edge,BlackBerry 10 Browser  Opera Mini,Tizen Browser (Based on UC Browser),Sailfish Browser (Firefox)  Webcat (WebKit)  Web Pirate (WebKit)  others via Android (Firefox  Chrome  Opera),Morph Browser
Browser extensions,No[178] 3rd party software[179],8+[180],No  3rd party software[181],No,No,No,No
Browser direct Internet connection (increased resilience to outages),Yes,Yes,Yes,10+ [182] 7.1 and older route through BlackBerry Internet Service  direct browsing supported over WiFi,Yes,?,?
Browser undo close tab,Google Chrome for Android[183],8+[184],No  3rd party software[185],No,No,No,No
Browser keeps windows open on shutdown or crash,2.3+ Google Chrome[186] but not on the deprecated AOSP browser[187],Yes,Yes,10+ Opens dialog for choosing which websites to restore after crash  option to restore all sites after restart,No,Yes,Yes
Browser keeps windows open when cleaning cookies,Yes,3rd party software[188],Yes,Yes,?,Yes,Yes
Browser search engine options,Many[189],Bing  Google  Yahoo! Search  DuckDuckGo,Bing  Google support removed on some markets on 8.1 GDR1+[190] W10M: Many,Bing  Google  Yahoo  User Defined,Bing  Google  Yahoo! Search,Bing  Google  Yahoo  Yandex. Baidu  DuckDuckGo  StartPage  Searx  ixquick  Swisscows  Qwant  Seznam  Hulbee via openrepos[191],[added]
Browser find on page,1.5+[192],4.2+[193],8+[194],Yes[195],Yes,1.1.2.16+[196],Yes
Browser/email save images,Yes,Yes[197],Yes[198],Yes,?,Yes,Yes
Browser/email save PDFs,Yes,Yes[74],Yes[199],Yes,Yes,Yes,Yes
Browser save audio/video,Yes  but only links  not embedded media,3rd party software[200],8.1+[201],Yes (embedded media not supported),Yes,Yes,Yes
Browser save page,Yes  Google Chrome 55+[202],6+: Offline Reading List;[203] 3rd party software[204],10+[205],Yes[206],Yes,?,Yes
Browser save any file,Yes  Chrome for Android.,When an app that can handle/open the filetype is installed (excluding audio/video - requires 3rd party software[207]);[208],8.1+[201],10+,?,Yes,Yes
Browser force enable zoom,No  not working anymore on Android 4.4[209],Yes[210],Yes  via accessibility settings,Yes via accessibility settings,?,?,?
Browser text reflow[211],No  removed on Android 4.4[212][213],5+: Only on pages with reader mode available[214][215] 3rd party browsers on prior versions[216],Only on pages available on reading view on 8.1+,Yes[217] 10+ Only in reader mode,No,No,No
Browser Reader Mode,No [218] 3rd party software[219][220],5+[214][215],8.1+[221],10+[222],Yes,No[223],No
Browser file upload,2.2+[224],9+; 6-8: Limited,Yes,4.2+[225],Yes,1.0.7.16+[226],Yes
Browser form navigation,Next button[227],Previous  Next  AutoFill  and Done buttons[228],Yes,Yes[225],?,?,?
Browser private browsing mode,3.0+ with AOSP browser[229] or with Chrome for Android,5+[230],8.1+[93],10+[231],Yes,1.1.6.27+[232],Yes
Offline web apps,Yes[233],Yes[234][235][236],?,?,No,?,Yes
HTTP Live Streaming,3+[237],3+[238],10+[239],10+[240],No,?[241],Yes
WebRTC,Yes[242],11+[243],No,Yes (beta),No,No,Yes
