Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Audio playback,AAC LC/LTP 3GPP  HE-AACv1 (AAC+)  HE-AACv2 (enhanced AAC+) AMR-NB  AMR-WB  MP3  MIDI (Type 0 and 1  DLS versions 1 and 2)  Ogg Vorbis  PCM/WAVE  FLAC  WAVE  Opus[331],AAC  protected AAC (from iTunes Store)  HE-AAC  MP3  MP3 VBR  Audible (formats 2  3  4  Audible Enhanced Audio  AAX  and AAX+)  Apple Lossless  AIFF  WAV[332],MP3  WMA Std 9.2  WMA Pro  FLAC  AMR-NB  AAC-LC  AAC+  eAAC+[333],MP3  FLAC  AAC  AAC+  eAAC+  WAV  WMA pro  AMR-NB  MIDI  AWB  M4A  MKA  OGG[334],AAC  AAC+  eAAC+  AMR-NB  AMR-WB  MP3  Vorbis  WAV[335],MP3  FLAC  AAC  eAAC  eAAC+  ALAC  AC3  DTS  Opus  Vorbis,?
Video playback,H.263  H.264 (up to Baseline Profile)  H.265 HEVC  MPEG-4 SP  DivX  XviD  VP8  VP9[331] (WMV on 3rd party software like VLC media player),H.264 (up to High Profile)  MPEG-4  M-JPEG[332],H.263  H.264  WMV  MPEG4  MPEG4 @ HD 720p 30fps  DivX  XviD[336],MP4  WMV  H.263  H.264  DivX  WMV  XviD  3GGP  3GP2  ASF  AVI  F4V  M4V  MKV  MOV  MPEG4  MPEG-2[334],H.263  H.264  MPEG-4 Part 2[335],MPEG-4  H264  H263 [337] although audio in recorded videos is out of sync[338],?
Wired video out,4K on 6+[339],Up to 1080p via HDMI[340] or VGA [341] 576p/480p via component[342] or composite;[343],8.1+ USB[344],10+ 1080p via microHDMI [345] SlimPort (BlackBerry Passport)[346],No,No[347],Yes
Wired digital audio output,5+ USB Audio[348],7+: USB Audio[349],10+: USB Audio on USB-C devices[350],USB Audio,No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,4.2+ Miracast [351] but DLNA[352] only available on selected devices,AirPlay[353],8.1+ Miracast on some devices[354],10+ DLNA [355] 10.2+ Miracast[356] on some devices[357],DLNA[358],?,Yes
Media player on-device playlist creation,Yes[359],Yes[74],Yes[360],Yes,?,Yes,Yes
Media player video scrubbing,Yes,Yes,7.10.7720.0+[361],?,?,?,?
Media player audio scrubbing,Yes,Yes,8.1+[362],?,?,?,?
Media player fine scrubbing,No [363] 3rd party software like VLC media player  basic fine scrubbing removed on 4+[364],Yes[365],No,?,?,?,?
Media player double speed playing,6+[366],Only Podcasts[367],8.1+ Only Podcasts[368],?,?,?,?
