Latin,Spanish,Portuguese,Examples,Meaning
cl-  fl-  pl-,ll- or pl,ch-
- lt-  - ct-,-ch-,-it-
f-,h- (later silent) or f-,f-
j(a)-,ya-,ja-
- l-,-l-,(elided)
- c(u)l-  - li-,-j-,-lh-
- ll-,-ll-,-l-
- n-,-n-,(elided)
- ni-,-ni-,-nh-,iūnius → S. junio  P. Junho
- nn-,-ñ-,-n-
