Name,Developer,Software license,Latest stable software release,Operating system,Year (not dynamic  but easier for sorting)
ABC,various,PSFL,3.1 (October 2  2005; 13 years ago (2005-10-02)[5]),Windows  Linux,2005
Acquisition,Acquisition,Proprietary,2.2 (v223) (November 19  2010; 8 years ago (2010-11-19)) [±],macOS,2010
BitComet,BitComet Development Group,Proprietary  Adware,1.51 (June 12  2018; 5 months ago (2018-06-12)) [±][6],Windows,2018
BitLet,various,ASL,?,(Java runtime),2015
BitLord,House of Life,Windows  macOS,2017
BitTornado,John Hoffman,MIT,0.3.17 (October 19  2006; 12 years ago (2006-10-19)) [±],Windows  macOS  Linux  BSD,2006
BitTyrant,University of Washington,GPL,1.1.1 (September 7  2007; 11 years ago (2007-09-07)[10]) [±],Windows  macOS  Linux,2007
Blog Torrent,Downhill Battle,GPL,0.92 (April 20  2005; 13 years ago (2005-04-20)) [±],Windows  macOS,2005
Deluge,various,GPL,1.3.15 (May 12  2017; 18 months ago (2017-05-12)) [±],Windows  macOS  Linux  BSD,2017
FlashGet,Trend Media,Proprietary,3.7.0.1220 (May 17  2013; 5 years ago (2013-05-17)[11]) [±],Windows,2013
Folx,Eltima Software,Proprietary  Setapp,macOS,2018
Free Download Manager,alervd,Proprietary,5.1.37 (build 7274) (September 28  2018; 2 months ago (2018-09-28)) [±][13],Windows  macOS,2018
FrostWire,The FrostWire Project,GPL,6.7.1 (build 268) (July 24  2018; 4 months ago (2018-07-24)) [±],Windows  macOS  Linux  Android,2018
KGet,KDE,GPL,4.14.3 (November 11  2014; 4 years ago (2014-11-11)) [±][14],Linux,2014
KTorrent,Joris Guisson  Ivan Vasić,GPL,Linux,2017
Lftp,Alexander V. Lukya,GPL,4.8.4 (August 1  2018; 3 months ago (2018-08-01)[16]) [±],Linux,2018
LimeWire,Lime Wire LLC,GPL,5.5.16 (September 30  2010; 8 years ago (2010-09-30)) [±],Windows  macOS  Linux,2010
Meerkat Bittorrent Client,47 Software,Proprietary,1.5.8 (August 28  2011; 7 years ago (2011-08-28)) [±],Windows,2011
Miro,Participatory Culture Foundation,GPL,6.0 (April 16  2013; 5 years ago (2013-04-16)) [±][17],Windows  macOS  Linux,2013
MLDonkey,MLDonkey Project,GPL,3.1.5 (March 22  2014; 4 years ago (2014-03-22)[18]) [±],Windows  macOS  Linux  MorphOs,2014
µTorrent,Ludvig Strigeus,Proprietary  Adware [a],Windows  macOS  Android,2018
OneSwarm,University of Washington,GPL,0.7.5 (May 23  2011; 7 years ago (2011-05-23)[26]) [±],,2011
Opera 12,Opera Software,Proprietary,Windows (Presto) – 12.17 Linux  FreeBSD  macOS – 12.16,Windows  macOS  Linux,2016
qBittorrent,Christophe Dumez,GPL,Windows  macOS  Linux  BSD,2018
rTorrent,Jari Sundell,GPL,rTorrent 0.9.7 / libTorrent 0.13.7 (June 6  2018; 5 months ago (2018-06-06)) [±][29],Linux,2018
Robert,Sponge  co-developer of I2P,GPL,Template:Latest stable software release/Robert (P2P software),,2009
Shareaza,Shareaza Development Team,GPL,2.7.10.2 (September 18  2017; 14 months ago (2017-09-18)[30]) [±],Windows,2017
SymTorrent,Imre Kelényi,GPL,1.51 (October 23  2012; 6 years ago (2012-10-23)[31]) [±],Symbian,2012
Tixati,Kevin Hearn,Proprietary,2.58 (July 7  2018; 4 months ago (2018-07-07)[32]) [±],Windows  Linux,2018
Tomato Torrent,Sarwat Khan,BT OSL,1.5.1 (October 27  2007; 11 years ago (2007-10-27)[33]),macOS,2007
Tonido,CodeLathe,Proprietary,3.62.0.21836 (December 31  2012; 5 years ago (2012-12-31)) [±],Windows  macOS  Linux  BSD,2012
TorrentFlux,various,GPL,2.4 (June 18  2008; 10 years ago (2008-06-18)[34]) [±],PHP Server,2008
Transmission,various,GPL/MIT,2.94 (May 1  2018; 6 months ago (2018-05-01)) [±][35],Windows  macOS  Linux,2018
Tribler,The Tribler Team,LGPL,7.1.0 (October 9  2018; 54 days ago (2018-10-09)) [±][36],Windows  macOS  Linux  Android,2018
Vuze (formerly Azureus),Vuze,Proprietary (platform)  GPL (core engine)  Adware,5.7.6.0 (November 2  2017; 12 months ago (2017-11-02)) [±][37],Windows  macOS  Linux  Android,2017
Xunlei,Thunder Networking Technologies,Proprietary,Windows  macOS  Android  iOS,2017
Name,Developer,Software license,Latest stable software release,,Year
