Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Separate volume for ringtone and media,Yes,Yes,8.1+[93],Yes,?,Yes,Yes
Voice commands,Yes[525],5+ (Siri),8.1+ Microsoft Cortana[526],Yes[527],?,via 3rd party software such Saera[528],No
Offline voice commands,6+[529],Yes[530],Limited  Playback control not available[531],No[527],?,No,No
Voice recognition,Yes,5+ (Siri),8.1+ Microsoft Cortana[526],Yes,?,No,No
Offline voice recognition,4.1+[532],Limited  only calling and music playback[533],Limited  only calling and launching apps,No,No,No,No
Non-English voice recognition,Yes,Yes[289],Yes[316],Yes,?,No,No
Sound recorder,Very limited (Doesn't work in background[534] and not voice controlled),3+: Limited (Not voice controlled)[535][536],10+: Quite limited (doesn't work in background) [537] for older versions: 3rd party software  also similarly limited,10+ Embedded into Remember[538] app  works in background but not voice controlled. 7.1 and older: Very limited (Doesn't work in background and not voice controlled),Partial,3rd party software[539],No Third party app
Call recorder,Prevented by OS restrictions [540] but possible with 3rd party firmware[541],3rd party software[542],10+ some devices[543],With third-party software[544],?,Yes [545]}},No
Sound trim,No [546] but 3rd party software available[547],Yes[548],3rd party software[549],?,?,?,?
