IrfanView,[empty],PDF,BMP,JPEG,PNG,TIFF,GIF,PSD,~70 types including : AIF  ANI/CUR  ASF  AU/SND  AVI  B3D  DIB  CAM (Casio JPG)  CLP  DDS  Dicom/ACR  DJVU  ECW  EMF/WMF  EPS/PS  FITS  FlashPix (FPX)  FSH  G3  HDR  ICO/ICL/EXE/DLL  IFF/LBM  IMG (GEM)  JPEG 2000  JPM  KDC  LDF  LWF  MED  MID/RMI  MNG/JNG  MOV  MP3  MPG  MrSID  NLM/NOL/NGG  OGG  PBM/PGM/PPM  PCX/DCX  PhotoCD  PIC  PSD  PSP  RAS/SUN  RAW  Real Audio (RA)  RLE  SFF  SFW  SGI/RGB  SWF (Flash/Shockwave)  TGA  TTF  TXT  WAD  WAL  WAV  WBMP  WBZ/WBC  XBM  XPM  CAD formats. Partial support: MOV  QTIF  Mac PICT  FLI/FLC  SVG. Note that some modes don't display large animated GIF files entirely (for example the Slideshow mode).
KSquirrel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],51 types
KPhotoAlbum,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Photo formats supported by KDE; AVI  MPEG  RAW
Lphoto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],iPhoto Clone
nomacs,[empty],[empty],BMP,JPEG,PNG,TIFF,GIF(RO),PSD(RO),Fully supports ppm  xbm  xpm  webp and can read: gif  ico  pbm  pgm  nef  crw  cr2  arw  mrw  rw2  dng  mpo  jps  pns  psb tga
Phase One Media Pro,[empty],PDF,[empty],JPEG,PNG,TIFF,GIF,PSD,Supports over 100 file formats for images  videos and documents  including: PSD  IIQ  CR  EIP  DOC
Picasa,[empty],[empty],BMP,JPEG,PNG,TIFF,GIF,[empty],8 types including TGA  RAW  and some movie formats
Preview,[empty],PDF,BMP,JPEG,PNG,TIFF,GIF,[empty],All QuickTime images:
ResourceSpace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Hundreds; all types supported by ImageMagick and FFmpeg plus InDesign
Shotwell,[empty],[empty],[empty],JPEG,PNG,TIFF,GIF,[empty],RAW and some video formats
Simple Comic,CBZ  CBR  CB7,[empty],[empty],JPEG,PNG,[empty],GIF,[empty],JPEG2000  any other Core Image supported format. Also opens 7-Zip  LHA  RAR  ZIP
STDU Viewer,[empty],PDF,BMP,JPEG,PNG,TIFF (multipage),GIF,PSD,TXT  EMF  WMF  DjVu  XPS
Windows Photo Viewer,[empty],[empty],BMP,JPEG,PNG,TIFF,GIF,[empty],WMF  EMF  ICO
XnView and XnViewMP,[empty],[empty],BMP,JPEG (IPTC&Exif),PNG,TIFF (multipage),GIF,PSD,reads over 500 formats [1] including: FAX  EPS  WMF  DICOM  DPX; writes about 50 formats
Xv,[empty],[empty],BMP,JPEG,PNG (with patch),TIFF,GIF,[empty],PBM  PGM  PPM  XPM  Sun Rasterfile  Targa  RGB  PCX  FITS  PM  PostScript
Zoner Photo Studio,[empty],[empty],BMP,JPEG,PNG,TIFF,GIF/aGIF,[empty],HDP/WDP  PSD  PSB  PSP/PSPIMAGE  DIB/RLE  J2K/JPC/JP2  PAM  PBM  PGM  PNM  PCD  PCX  WBMP/WBM  TGA  ICO  MAC  WPG  BMI  MDM  THN  DCM  stereo pictures: JPS  PNS  BMS.
Program,Comic book,PDF,BMP,JPEG,PNG,TIFF,GIF,PSD,Other graphics file formats
