IDE,Developer,Latest stable release,Platform,License
Eclipse EPIC,EPIC Project Team,0.6.44 / April 18  2012,Windows  Linux  macOS  FreeBSD  JVM  Solaris,[empty]
Geany,Team,1.27 / March 13  2016,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,[empty]
Komodo IDE / Edit,ActiveState,9.0.1 / April 19  2015,Cross-platform,[empty]
NetBeans,Sun Microsystems / Oracle,9.0 / <ref></ref>,Cross-platform,[empty]
Padre,Padre Team,1.0 / November 8  2013,Cross-platform,[empty]
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  Solaris  HP-UX,[empty]
