Name,macOS,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
AbsoluteTelnet,,,,,,,,,,,,,,,
Bitvise,,,,,,,,,,,,,,,
Cisco CLI Analyzer,,,,,,,,,,,,,,,
ConnectBot,,,,,,,,,,,,,,,
CRAX Commander,,,,,,,,,,,,,,,
Dropbear,,,,,,,{{?}},{{?}},{{?}},,,,,,
eSSH Client,,,{{?}},,,,{{?}},{{?}},{{?}},,,,,,
GSW ConnectBot,,,,,,,,,,,,,,,
lsh,,,,,,,{{?}},{{?}},{{?}},,,,,,
OpenSSH,,,,,,,{{?}},,,,,,,,
PACManager,,,,,,,,,,,,,,,
PuTTY,,,{{?}},,,,,{{?}},{{?}},,,,,,
SecureCRT,,,,,,,,,,,,,,,
SmartFTP,,,,,,,,,,,,,,,
SSH Tectia Client/ConnectSecure,,,,,,,,,,,,,,,
Tera Term,,,,,,,,,,,,,,,
TN3270 Plus,,,,,,,,,,,,,,,
TtyEmulator,,,,,,,,,,,,,,,
WinSCP,,,,,,,,,,,,,,,
Xshell,,,,,,,,,,,,,,,
ZOC,,,,,,,,,,,,,,,
Name,OS X,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
