Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Fillrate,Memory,Supported API version,Processing power (GFLOPS)2,TDP (Watts),Notes
Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,[added],[added]
GeForce 410M,January 5  2011,GF119,40,PCIe 2.0 ×16,48:83:4,575,1150,1600,2.3,4.6,512,12.8
GeForce GT 415M,September 3  2010,GF108,40,PCIe 2.0 ×16,48:83:4,500,1000,1600,2,4,512,25.6
GeForce GT 420M,September 3  2010,GF108,40,PCIe 2.0 ×16,96:163:4,500,1000,1600,2,8,512,25.6
GeForce GT 425M,September 3  2010,GF108,40,PCIe 2.0 ×16,96:163:4,560,1120,1600,2.24,8.96,1024,25.6
GeForce GT 435M,September 3  2010,GF108,40,PCIe 2.0 ×16,96:163:4,650,1300,1600,2.6,10.4,2048,25.6
GeForce GT 445M,September 3  2010,GF106,40,PCIe 2.0 ×16,144:243:16<br />144:243:24,590,1180,1600<br />2500,9.44<br />14.16,14.16,1024<br />1536,25.6<br />60
GeForce GTX 460M,September 3  2010,GF106,40,PCIe 2.0 ×16,192:323:24,675,1350,2500,16.2,21.6,1536,60
GeForce GTX 470M,September 3  2010,GF104,40,PCIe 2.0 ×16,288:483:24,550,1100,2500,13.2,26.4,1536,60
GeForce GTX 480M,May 25  2010,GF100,40,PCIe 2.0 ×16,352:443:32,425,850,2400,13.6,18.7,2048,76.8
GeForce GTX 485M,January 5  2011,GF104,40,PCIe 2.0 ×16,384:643:32,575,1150,3000,18.4,36.8,2048,96.0
