Name,Vendor,License,Transactional,Under active development
Archive,Oracle,GPL,[empty],[added]
Aria,MariaDB,GPL,[empty],[added]
Berkeley DB,Oracle,AGPLv3,[empty],[added]
BlitzDB,[empty],GPL,[empty],[added]
CONNECT,MariaDB,GPL,[empty],[added]
CSV,Oracle,GPL,[empty],[added]
DeepSQL,Deep Information Sciences,Custom Proprietary,[empty],[added]
Falcon,Oracle,GPL,[empty],[added]
InfiniDB,Calpont,GPL,[empty],[added]
InnoDB,Oracle,GPL,[empty],[added]
MyISAM,Oracle,GPL,[empty],[added]
NDB,Oracle,GPLv2,[empty],[added]
TokuDB,TokuTek,Modified GPL,[empty],[added]
WiredTiger,WiredTiger,GPL,[empty],[added]
XtraDB,Percona,GPL,[empty],[added]
Federated,Oracle,GPL,[empty],[added]
FederatedX,MariaDB,GPL,[empty],[added]
CassandraSE,MariaDB,GPL,[empty],[added]
sequence,MariaDB,GPL,[empty],[added]
mroonga,MariaDB,GPL,[empty],[added]
SphinxSE,Sphinx Technologies,GPL,[empty],[added]
MyRocks,Facebook,GPLv2,[empty],[added]
MyMax,CEICOM Solutions,Custom Proprietary,[empty],[added]
