+Productivity
Feature
Multitasking
Quick app switching
Document-centric multitasking
Split-screen app usage
Desktop interactive widgets
Lock screen widgets
Notification view widgets
Quick settings toggles
Search multiple internal apps at once
Settings search
Search all fields of internal objects
Core apps missing search
Phone number links to dialer
Addresses links to maps
Dates links to calendar
[added]
