File system,Maximum filename length,name=note-25 |These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Installable File System drivers may place restrictions of their own on file and directory names; operating systems may also place restrictions of their own  across all filesystems. DOS  Windows  and OS/2 allow only the following characters from the current 8-bit OEM codepage in SFNs: A-Z  0-9  characters ! # $ % & ' ( ) - @ ^ _ ` { } ~  as well as 0x80-0xFF and 0x20 (SPACE). Specifically  lowercase letters a-z  characters " * / : < > ? \ | +   . ; = [ ]  control codes 0x00-0x1F  0x7F and in some cases also 0xE5 are not allowed.) In LFNs  any UCS-2 Unicode except \ / : ? * " &gt; &lt; | and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.}},Maximum pathname length,Maximum file size,Maximum volume size,Max number of files
UFS1,255 bytes,Any byte except NUL,No limit defined,16 GiB to 256 TiB,16 EiB,
UFS2,255 bytes,Any byte except NUL,No limit defined,512 GiB to 32 PiB,512 ZiB<ref></ref> (279 bytes),
ext,255 bytes,Any byte except NUL,No limit defined,2 GiB,2 GiB,
Xiafs,248 bytes,Any byte except NUL,No limit defined,64 MiB,2 GiB,
ext2,255 bytes,Any byte except NUL  /,No limit defined,16 GiB to 2 TiB,2 TiB to 32 TiB,
ext3,255 bytes,Any byte except NUL  /,No limit defined,16 GiB to 2 TiB,2 TiB to 32 TiB,
ext4,255 bytes,Any byte except NUL  /,No limit defined,16 GiB to 16 TiB<ref name="ext4-features"></ref>,1 EiB,232
NOVA,255 bytes,Any byte except NUL  /,No limit defined,16 EiB,16 EiB,
Lustre,255 bytes,Any byte except NUL,No limit defined,16 EiB on ZFS,16 EiB,
GPFS,255 UTF-8 codepoints,Any byte except NUL,No limit defined,No limit found,299 bytes (2 PiB tested),
GFS,255 bytes,Any byte except NUL,No limit defined,2 TiB to 8 EiB,2 TiB to 8 EiB,
NILFS,255 bytes,Any byte except NUL,No limit defined,8 EiB,8 EiB,
ReiserFS,4.032 bytes/255 characters,Any byte except NUL or '/',No limit defined,8 TiB</ref>}} (v3.6)  4 GiB (v3.5),16 TiB,
Reiser4,3.976 bytes,Any byte except / and NUL,No limit defined,8 TiB on x86,data-sort-type="number" data-sort-value="0",
OCFS,255 bytes,Any byte except NUL,No limit defined,8 TiB,8 TiB,
OCFS2,255 bytes,Any byte except NUL,No limit defined,4 PiB,4 PiB,
XFS,255 bytes,Any byte except NUL,No limit defined,8 EiB,8 EiB,
JFS1,255 bytes,Any byte except NUL,No limit defined,8 EiB,512 TiB to 4 PiB,
