Arrays and Collections,Java,C#
Abstract data types,[empty],[added]
One-dimensional  zero-based index arrays,[empty],[added]
Multidimensional arrays  rectangular (single array),[empty],[added]
Multidimensional arrays  jagged (arrays of arrays),[empty],[added]
Non-zero based arrays,[empty],[added]
Unified arrays and collections,[empty],[added]
Maps/dictionaries,[empty],[added]
Sorted dictionaries,[empty],<ref></ref>
Sets,[empty],[added]
Sorted sets,[empty],<ref></ref>
Lists/vectors,[empty],[added]
Queues/stacks,[empty],[added]
Priority queue,[empty],<ref></ref><ref></ref>
Bags/multisets,[empty],[added]
Concurrency optimized collections,[empty],<ref></ref>
