+ Revision and network compatibility
Standard or Revision
GSM (1991)  GPRS (2000)  EDGE (2003)
cdmaOne (1995)
EV-DO (1999)  Rev. A (2006)  Rev. B (2006)  SVDO (2011)
UMTS (1999)  HSDPA (2005)  HSUPA (2007)  HSPA+ (2009)
LTE (2009  3G)  LTE Advanced (2011  4G)
