IDE,License,Windows,Linux,macOS,Other platforms
Eclipse JDT,[empty],[empty],[empty],[empty],FreeBSD  JVM  Solaris
IntelliJ IDEA,, proprietary,[empty],[empty],[empty],FreeBSD  OpenBSD  Solaris
NetBeans,, GPL2,[empty],[empty],[empty],Solaris
