+ Comparison of free credit report and credit score websites,Name,Frequency,Credit bureau,Full SSN required?,Scoring model
AnnualCreditReport.com,Annual full official report (one from each agency) <ref name="AnnualCreditReport.com"></ref>,Equifax  Experian  TransUnion<ref name="AnnualCreditReport.com" />,<ref name="AnnualCreditReport.com" />,
CreditCards.com by Bankrate,Monthly full report<ref name="My.CreditCards.com"></ref>,TransUnion<ref name="My.CreditCards.com" />,,<ref name="My.CreditCards.com" />
Credit.com,Monthly summary<ref name="Credit.com"></ref>,Experian<ref name="Credit.com" />,<ref name="Credit.com" />,<ref name="VantageScore.com"></ref>  Experian's National Equivalency Score<ref name="Credit.com" />
Credit Journey by Chase,Weekly summary<ref name="ChaseCreditJourney"></ref>,TransUnion<ref name="ChaseCreditJourney" />,<ref name="ChaseCreditJourney" />,<ref name="ChaseCreditJourney" />
Credit Karma,Weekly full reports<ref name="Credit Karma"></ref>,TransUnion  Equifax<ref name="Credit Karma" />,<ref></ref>,<ref name="VantageScore.com" />
Credit Scorecard by Discover,Monthly summary<ref name="Creditscorecard"></ref>,Experian,<ref name="Creditscorecard" />,<ref name="Creditscorecard" />
Credit Sesame,Monthly summary<ref name="Credit Sesame"></ref>,TransUnion<ref name="Credit Sesame" />,<ref name="Credit Sesame" />,<ref name="Credit Sesame" />
CreditWise by Capital One,Weekly full report<ref name="Credit Wise"></ref>,TransUnion<ref name="Credit Wise" />,<ref name="Credit Wise" />,<ref name="Credit Wise" />
CreditWorks Basic by Experian,Monthly full report<ref name="Experian CreditWorks"></ref>,Experian,<ref name="Experian CreditWorks"/>,<ref name="Experian CreditWorks"/>
LendingTree,Monthly summary<ref name="LendingTree"></ref>,TransUnion<ref name="LendingTree" />,<ref name="LendingTree" />,<ref name="VantageScore.com" />
Mint by Intuit,Monthly summary<ref name="Mint.com"></ref>,TransUnion<ref name="Mint.com" />,<ref name="Mint.com" />,<ref name="Mint Help"></ref>
MoneyLion,Monthly summary<ref name="MoneyLion"></ref>,TransUnion<ref name="LendingTree" />,<ref name="LendingTree" />,<ref name="VantageScore.com" />
myBankrate,Monthly full report<ref name="myBankrate"></ref>,TransUnion<ref name="myBankrate" />,,<ref name="myBankrate" />
MyCredit Guide by American Express,website=www.americanexpress.com|language=en-US|access-date=2018-06-05}}</ref>,TransUnion<ref name="MyCreditGuide" />,,<ref name="MyCreditGuide" />
NerdWallet,Weekly full report<ref name="NerdWallet"></ref>,TransUnion<ref name="NerdWallet" />,<ref name="NerdWallet" />,<ref name="NerdWallet" />
SavvyMoney,Monthly summary<ref name="SavvyMoney.com"></ref>,TransUnion<ref name="SavvyMoney.com" />,<ref name="SavvyMoney.com" />,<ref name="SavvyMoney.com" />
QLCredit,Biweekly full report<ref name="QLCredit"></ref>,TransUnion<ref name="QLCredit" />,<ref name="QLCredit" />,<ref name="VantageScore.com" />
Quizzle by Bankrate,Quarterly full report<ref name="Quizzle"></ref>,TransUnion<ref name="Quizzle" />,<ref name="Quizzle" />,<ref name="VantageScore.com" />
WalletHub,Daily full report<ref name="WalletHub"></ref>,TransUnion<ref name="WalletHub" />,<ref name="WalletHub" />,<ref name="VantageScore.com" />
