+Language and inputs
Feature
Non-English languages support
Underlining spell checker
Built-in system-wide dictionary
Autoexpanding text replacements
Keyboard next word prediction
Keyboard cursor controller
Optical character recognition input method
Third party input methods
Gesture text input
Emoji support
[added]
