Proxmox VE,Proxmox,x86-64,x86  x86-64,Debian Based,Windows  Linux  Linux variants  Solaris  FreeBSD  OSx86 (as FreeBSD)  virtual appliances  Netware  OS/2  SCO  BeOS  Haiku  Darwin,[empty]
Oracle VM Server for SPARC (LDoms),Oracle Corporation,UltraSPARC T1  UltraSPARC T2  UltraSPARC T2+  SPARC T3  SPARC T4,Compatible,Solaris 10  Solaris 11,Oracle support: Solaris; unsupported: Linux  FreeBSD,[empty]
PowerVM,IBM,POWER4  POWER5  POWER6  POWER7  POWER8,POWER4/5/6/7/8  x86 (PowerVM-Lx86),PowerVM Firmware,Linux PowerPC  x86; AIX  IBM i,[empty]
QEMU,Fabrice Bellard  other developers,x86  x86-64  IA-64  PowerPC  SPARC 32/64  ARM  S/390  MIPS,x86  x86-64  Alpha  ARM  CRIS  LM32  M68k  MicroBlaze  MIPS  OpenRisc32  PowerPC  S/390  SH4  SPARC 32/64  Unicore32  Xtensa,Windows  Linux  macOS  Solaris  FreeBSD  OpenBSD  BeOS,Changes regularly<ref name="QEMU" />,[empty]
QEMU w/ kqemu module,Fabrice Bellard,x86  x86-64,Same as host,Linux  FreeBSD  OpenBSD  Solaris  Windows,Changes regularly<ref name=QEMU/>,[empty]
QEMU w/ qvm86 module,Paul Brook,x86,x86,Linux  NetBSD  Windows,Changes regularly,[empty]
QuickTransit,Transitive Corp.,x86  x86-64  IA-64  POWER,MIPS  PowerPC  SPARC  x86,Linux    Solaris,Linux    Irix  Solaris,[empty]
RTS Hypervisor,Real-Time Systems GmbH,x86  x86-64,x86  x86-64,No host OS,Windows  Linux  Windows Embedded  QNX  RTOS-32  VxWorks  OS-9  T-Kernel,[empty]
ScaleMP vSMP Foundation,ScaleMP,x86  x86-64,Same as host,No host OS,Linux,[empty]
SIMH,Bob Supnik  The Computer History Simulation Project,Alpha  ARM  HPPA  x86  IA-64  x86-64  M68K  MIPS  MIPSel  POWER  s390  SPARC,Data General Nova  Eclipse; Digital Equipment Corporation PDP-1  PDP-4  PDP-7  PDP-8  PDP-9  PDP-10  PDP-11  PDP-15  VAX; GRI Corporation GRI-909; IBM 1401  1620  1130  7090/7094  System/3; Interdata (Perkin-Elmer) 16b/32b systems; Hewlett-Packard 2114  2115  2116  2100  21MX; Honeywell H316/H516; MITS Altair 8800 with 8080 and Z80; Royal McBee LGP-30  LGP-21; Scientific Data Systems SDS 940,BSD  Linux  Solaris  VMS  Windows,Depends on target machine  includes NetBSD/VAX  OpenBSD/VAX  VAX/VMS  Unix v6  Unix v7  TOPS-10  TOPS-20  ITS,[empty]
Simics,Wind River,x86  x86-64,8051  68000  ARM (v4  v5  v6  v7)  MIPS32  MIPS64  Cavium cnMIPS  Broadcom XLR MIPS  Freescale Power Architecture 32-bit and 64-bit (e300  e500  e600  e5500  e6500)  IBM Power Architecture (POWER  PPC44x  PPC46x  47x)  SPARC v8 (LEON)  SPARC v9 (UltraSparc)  x86 (from 80286 to Sandy Bridge)  x86-64 (from Pentium4 to Sandy Bridge)  TI TMS320C64xx  Renesas H8  Renesas SH,Windows 32-bit and 64-bit  Linux 32-bit and 64-bit,Depends on target machine  typically runs unmodified software stacks from the corresponding real target  including VxWorks  VxWorks 653  OSE  QNX  Linux  Solaris  Windows  FreeBSD  RTEMS  TinyOS  Wind River Hypervisor  VMware ESX  and others,[empty]
Sun xVM Server,Sun Microsystems,x86-64  SPARC,Same as host,No host OS,Windows XP  2003 Server (x86-64 only)  Linux  Solaris,[empty]
SVISTA 2004,Serenity Systems International,x86,x86,Windows  OS/2  Linux,Windows  Linux  OS/2  BSD,[empty]
TRANGO,TRANGO Virtual Processors  Grenoble  France,ARM  XScale  MIPS  PowerPC,Paravirtualized ARM  MIPS  PowerPC,No host OS  Linux or Windows as dev. hosts,Linux  eCos  µC/OS-II  WindowsCE  Nucleus  VxWorks,[empty]
User Mode Linux,Jeff Dike  other developers,x86  x86-64  PowerPC,Same as host,Linux,Linux,[empty]
VirtualBox,Innotek  acquired by Oracle Corporation,x86  x86-64,x86  x86-64 (with Intel VT-x or AMD-V  and VirtualBox 2 or later),Windows  Linux  macOS  Solaris  FreeBSD  eComStation,DOS  Linux  macOS <ref name="virtualbox" /> FreeBSD  Haiku  OS/2  Solaris  Syllable  Windows  and OpenBSD (with Intel VT-x or AMD-V  due to otherwise tolerated incompatibilities in the emulated memory management).<ref></ref>,GPL version 2; full version with extra enterprise features is proprietary:
Virtual Iron 3.1,Virtual Iron Software  Inc.  acquired by Oracle,x86 VT-x  x86-64 AMD-V,x86  x86-64,No host OS,Windows  Linux,, some components GPLv2<ref name="oracle" />
Virtual PC 2007 (discontinued),Connectix and Microsoft,x86  x86-64,x86,Windows Vista (Business  Enterprise  Ultimate)  XP Pro  XP Tablet PC Edition,DOS  Windows  OS/2  Linux (SUSE  Xubuntu)  OpenSolaris (Belenix),[empty]
Windows Virtual PC (discontinued),Connectix and Microsoft,x86  x86-64 with Intel VT-x or AMD-V,x86,Windows 7,Windows XP  Windows Vista  Windows 7  Windows Server 2003  Windows Server 2008,[empty]
Virtual PC 7 for Mac,Connectix and Microsoft,PowerPC,x86,[empty],Windows  OS/2  Linux,[empty]
VirtualLogix VLX,VirtualLogix,ARM  TI DSP C6000  x86  PowerPC,Same as host,No host OS,Linux  Windows XP  C5  VxWorks  Nucleus  DSP/BIOS  proprietary,[empty]
Virtual Server 2005 R2,Connectix and Microsoft,x86  x86-64,x86  x86-64,Windows Server 2003  2008  XP (Requires IIS),Windows NT  2000  2003  2008  Linux (Red Hat  SUSE  Ubuntu),[empty]
Synopsys (CoWare) Virtual Platform,CoWare,x86  x86-64  SPARC v9,Devices including (multi) cores from ARM  MIPS  PowerPC  Toshiba MeP  Renesas SH  Texas Instruments  Tensilica  ZSP,Windows  Linux  Solaris,Depends on guest CPU; includes: Linux (various flavors)  µITRON (various flavors)  Windows CE  Symbian  more,[empty]
