Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Memory
MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),[added],[added]
GeForce Go 6100 + nForce Go 430,[empty],C51M,110,HyperTransport,425,System memory,2:1:2:1,850,425
GeForce Go 6150 + nForce Go 430,[empty],C51M,110,HyperTransport,425,System memory,2:1:2:1,850,425
GeForce Go 6200,[empty],NV44M,110,PCIe ×16,300,600,4:3:4:2,1200,600
GeForce Go 6400,[empty],NV44M,110,PCIe ×16,400,700,4:3:4:2,1600,800
GeForce Go 6600,[empty],NV43M,110,PCIe ×16,300,700,8:3:8:4,3000,1500
GeForce Go 6800,November 8  2004,NV41M,130,PCIe ×16,300,700<br />1100,12:5:12:12,3000,1500
GeForce Go 6800 Ultra,February 24  2005,NV41M,130,PCIe ×16,450,700<br />1100,12:5:12:12,5400,3600
