File system,Host OS,Online grow,Offline grow,Online shrink,Offline shrink
Btrfs<ref> SUSE|url=https://www.suse.com/products/server/technical-information/|website=www.suse.com|accessdate=28 April 2018|language=en}}</ref>,Linux,,,,
ext2<ref name="unix.com"></ref>,Linux,,,,
ext3<ref name="unix.com"/>,Linux,,,,
ext4<ref name="unix.com"/>,Linux,,,,
NOVA,Linux,,,,
FAT16 / FAT16B / FAT16X,misc.,,<ref name="libparted">With software based on GNU Parted</ref>,,<ref name="libparted" />
FAT32 / FAT32X,misc.,,<ref name="libparted" />,,<ref name="libparted" />
F2FS<ref>https://git.kernel.org/cgit/linux/kernel/git/jaegeuk/f2fs-tools.git/</ref>,Linux,,,,
HFS+,Linux,,,,
HFS+,macOS,,,,
JFS<ref></ref>,Linux,,,,
JFS2,AIX,,,,
Lustre<ref name="wiki-faq-old"></ref>,Linux,,,,
NILFS<ref></ref>,Linux,,,,
NTFS<ref></ref>,Linux,,,,
NTFS,Windows,,,,
APFS,macOS,,,,
ZFS,misc.,,,,
Reiser4<ref></ref>,Linux,,,,
ReiserFS<ref></ref>,Linux,,,,
XFS<ref></ref>,Linux,,,,
ReFS,Windows,,,,
UFS2<ref></ref>,FreeBSD,(FreeBSD 10.0-RELEASE or later),,,
HAMMER,DragonflyBSD,,,,
SquashFS,Linux,,,,
