Name,Architecture,Integrated firewall,SMP support,USB support,UDMA support,Package management,APIs
Windows Phone 8,ARMv7,[empty],[empty],(USB 2.0),[empty],Windows Phone Store,Silverlight
Windows Phone 8.1,ARMv7,[empty],[empty],[empty],[empty],Windows Phone Store,Silverlight WinRT
Windows 10 Mobile,ARMv7,[empty],[empty],[empty],[empty],Microsoft Store,[added]
