[empty],Release date,RTM build,Current version,Status support,Codename,Based on (kernel),Kernel type,Operating environments,Editions,Purpose,Short description
Windows CE 1.0,1996-11,[empty],[empty],[empty],Pegasus  Alder,CE 1.0,[empty],[empty],[empty],Embedded,first release of Microsoft's Windows CE line for minimalistic computers and embedded systems
Windows CE 2.0,1997-11,[empty],[empty],[empty],Mercury  Apollo,CE 2.0,[empty],[empty],2.1  2.11,Embedded,[empty]
Windows CE 3.0,2000-04,[empty],[empty],Unsupported (2007-10-09),Cedar  Galileo  Rapier  Merlin  Stinger,CE 3.0,Embedded kernel,[empty],[empty],Embedded,[empty]
Windows CE 4.0,2002-01-07,[empty],[empty],[empty],Talisker,CE 4.0,[empty],[empty],4.1  4.2,Embedded,[empty]
Windows CE 5.0,2004-07-09,[empty],5.0 (2004-07-09),Unsupported (2014-10-14),Macallan,CE 5.0,Embedded kernel,[empty],[empty],Embedded,[empty]
Windows Embedded CE 6.0,2006-11-01,[empty],[empty],[empty],Yamazaki,CE 6.0,Hybrid kernel,[empty],[empty],[empty],[empty]
Windows Embedded Compact 7,2011-03-01,[empty],[empty],Supported,[empty],CE 7.0,Hybrid,[empty],[empty],[empty],[empty]
