[empty],Creator,Latest stable version,Software license,Open source,Programming language,Plugin support
Alfred,Running with Crayons,3.0.3,Proprietary,[empty],Objective-C,[empty]
Butler,Peter Maurer,4.1.6,Proprietary,[empty],Objective-C,[empty]
DragThing,James Thomson,5.9.11,Proprietary,[empty],C++,[empty]
LaunchBar,Objective Development,6.9.5,Proprietary,[empty],Objective-C,[empty]
Quicksilver,Blacktree Software,1.3.4,Apache License,[empty],Objective-C,[empty]
