Kernel name,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT<ref>IBM PC Real Time Clock should run in UT</ref>
Agnix http://agnix.sourceforge.net/,,,,,,,,,,,,,,
Amiga Exec,AmigaOS,Commodore International,HUNK,Exokernel (atypical)<ref>The Amiga hardware lacked support for memory protection  so the strong isolation goals of the microkernel design could not be achieved.</ref>,,,,,,,,,,
Amiga Exec SG (2nd Generation),AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),,,,,,,,,,
DragonFly BSD kernel,DragonFly BSD,Matt Dillon,ELF,hybrid,,,,,,,,,,
FreeBSD kernel,The FreeBSD Project,ELF  others - platform dependent,monolithic,,,,,,,,,,
GNU Hurd http://hurd.gnu.org/,GNU/Hurd (Arch Hurd  Debian GNU/Hurd  NixOS<ref>http://hydra.nixos.org/jobset/gnu/hurd-master</ref>),GNU Project/Free Software Foundation,ELF,,,,,,,,,,,
GNU Mach https://www.gnu.org/software/hurd/gnumach.html,part of GNU Hurd  used in GNU/Hurd,GNU Project/Free Software Foundation,ELF,microkernel,,,,,,,,,,
Inferno kernel,Inferno,Bell Labs / Vita Nuova Holdings,,virtual machine,,,,,,,,,,
L4,L4,Jochen Liedtke,,microkernel,,,,,,</ref>}},,,,
Linux kernel https://www.kernel.org/,Linux  Android  webOS  Firefox OS  Chrome OS  Syllable Server  Mastodon Linux  OpenBSD/Linux  Plan 9/Linux  Sailfish OS  Tizen  others,Linus Torvalds,ELF  others,monolithic,,,,,,,,,,
Compute Node Linux,Compute Node Linux,Cray Inc.,,,,,,,,,,,,
Mach http://www.cs.cmu.edu/afs/cs/project/mach/public/www/mach.html,NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX,Carnegie Mellon University,Mach-O,microkernel  hybrid kernel,,,,,,,,,,
MINIX 3 kernel http://www.minix3.org,MINIX 3,Andrew S. Tanenbaum,ELF <ref name=minix3-elf>Supports ELF since version 3.2.0 </ref> a.out<ref name=minix3-a.out-phased-out>a.out will be phased out in coming releases. </ref><ref name=minix3-a.out-utils-removed>Commit to remove a.out utils from minix; only supports running a.out now. </ref>,microkernel,,,,,,,,,,
MkLinux http://www.mklinux.org,,OSF Research Institute and Apple Computer,,microkernel,,,,,,,,,,
NetBSD kernel,The NetBSD Project,ELF  others - platform dependent,monolithic  anykernel using rump kernel architecture,,,,,,,,,<ref></ref>,
NetWare kernel,NetWare,Novell,NLM,hybrid,,,,,,,,,,
OpenBSD kernel,OpenBSD,OpenBSD developers,ELF  others - platform dependent,monolithic,,,,,,,,,,
OS/2 kernel,OS/2 version 2 and above,IBM,LX,hybrid,,,PowerPC version developed but never officially released.,,,,,,,
Plan 9 kernel,Plan 9 from Bell Labs,Bell Labs,,hybrid,,,,,,,,,,
ReactOS kernel,ReactOS,ReactOS Foundation,PE  others?,hybrid,,,,,,,,,,
Rockbox kernel,Rockbox,The Rockbox Project,,,,,,,,,,,,
SunOS kernel,SunOS,Sun Microsystems,a.out,monolithic,,,,,,,,,,
Solaris kernel,Sun Microsystems,ELF (32-bit only until<br />Solaris 7 in 1998),monolithic,,,,,,,,,,
Trix kernel,Trix,Massachusetts Institute of Technology,a.out,monolithic,,,,,,,,,,
Windows NT kernel http://www.microsoft.com/windows,Windows NT  2000  XP  2003  Vista  Windows 7  Windows 8  Windows Phone 8  Windows Phone 8.1  Windows 10,Microsoft,PE  others?,hybrid,,,,,,,,,,<ref>https://www.cl.cam.ac.uk/~mgk25/mswish/ut-rtc.html</ref>
XNU (Darwin kernel) http://opensource.apple.com/source/xnu/,Apple Computer,Mach-O,hybrid,,,,,,,,,,
SPARTAN kernel http://www.helenos.eu/,HelenOS,Jakub Jermar,ELF,microkernel,,,,,,,,,,
Kernel name,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT
