Format,Languages
string[startpos:endpos],ALGOL 68 (changes base index)
string (startpos .. endpos),Ada (changes base index)
Mid(string  startpos  numChars),VB
mid(string  startpos  numChars),FreeBASIC
string[startpos+(⍳''numChars'')-~⎕IO],APL
MID$(string  startpos  numChars),BASIC
substr(string  startpos  numChars),AWK (changes string)  Perl 5 <ref name="substr2"/><ref name="substr4"/> PHP<ref name="substr2"/><ref name="substr4"/>
substr(string  startpos  numChars) <br /> string.substr(startpos  numChars),Perl 6<ref name="substr5"/><ref name="substr6"/>
substr(string  startpos « numChars  padChar»),Rexx
string[startpos:endpos],Cobra  Python <ref name="substr2"/><ref name="substr3"/> Go
string[startpos  numChars],Pick Basic
string[startpos  numChars] <br /> string[startpos .. endpos-1] <br /> string[startpos ... endpos],Ruby<ref name="substr2"/><ref name="substr3"/>
string[startpos .. endpos] <br /> string[startpos len numChars],Seed7
string.slice(startpos«  endpos»),JavaScript<ref name="substr2"/><ref name="substr3"/>
string.substr(startpos«  numChars»),C++ (STL)  JavaScript
string.Substring(startpos  numChars),VB .NET  C#  Windows PowerShell  F#
string.substring(startpos«  endpos»),Java  JavaScript
copy(string  startpos  numChars),Object Pascal (Delphi)
(substring string startpos endpos),Scheme
(subseq string startpos endpos),Common Lisp
(subseq string startpos endpos),ISLISP
String.sub string startpos numChars,OCaml
substring (string  startpos  numChars),Standard ML
string:sub_string(string  startpos  endpos)<br />string:substr(string  startpos  numChars),Erlang
strncpy(result  string + startpos  numChars);,C
string[startpos .. endpos''+1],D
take numChars $ drop startpos string,Haskell
[string substringWithRange:NSMakeRange(startpos  numChars)],Objective-C (NSString * only)
string.[startpos..endpos],F#
string.sub(string  startpos  endpos) <br /> (string):sub(startpos  endpos),Lua<ref name="substr2"/><ref name="substr3"/>
string copyFrom: startpos to: endpos,Smalltalk
string(startpos:endpos),Fortran
SUBSTRING(string FROM startpos «FOR numChars»),SQL
StringTake[string  {startpos  endpos}],Mathematica<ref name="substr2"/><ref name="substr3"/>
string[startpos .. endpos],Ya,string (startpos:numChars)
string range string startpos endpos,Tcl,
