Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,<ref></ref>,[empty],[empty],[empty],[empty]
BLAG,[empty],[empty],[empty],[empty],[empty]
Debian/Ubuntu,[empty],[empty],optional,[empty],[empty]
Dragora GNU/Linux-Libre,[empty],[empty],[empty],[empty],[empty]
dyne:bolic,[empty],[empty],[empty],[empty],[empty]
Fedora,[empty],<ref></ref>,<ref></ref>,[empty],[empty]
Gentoo,[empty],[empty],optional,[empty],[empty]
gNewSense,[empty],[empty],[empty],[empty],[empty]
Guix System Distribution,[empty],[empty],[empty],[empty],[empty]
LibreCMC,[empty],[empty],[empty],[empty],[empty]
Mandriva,[empty],[empty],[empty],[empty],[empty]
Musix GNU+Linux,[empty],[empty],[empty],[empty],[empty]
Parabola GNU/Linux-libre,[empty],</ref>}},[empty],[empty],[empty]
SUSE Linux,[empty],<ref></ref>,<ref></ref>,[empty],[empty]
Solus,[empty],[empty],[empty],[empty],[empty]
Tor-ramdisk,[empty],[empty],[empty],[empty],[empty]
Trisquel,[empty],[empty],[empty],[empty],[empty]
Ututo,[empty],[empty],[empty],[empty],[empty]
