Name,Version,Software license,Active,Type,Windows,macOS,Linux,Textual editor?,Tree View editor?,Graphical editor?,WYSIWYG editors?,XML Schema Editor?,Syntax highlighting for (XML  XSD  XSL  XSLT...),Tag Folding,Intellisense/ Autocompletion (using schema.xsd for text),XPath search,XML diff/merge,Full- featured free trial period
Adobe FrameMaker,2015 release,[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Altova XMLSpy,2018,[empty],[empty],Standalone<br />Eclipse Plugin  Visual Studio Plugin,[empty],<ref name=po>Plugin version</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],30
CAM Editor,3.2.2 (2015),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
emacs/<br />nxml-mode,current,[empty],[empty],Emacs mode,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FontoXML,7.3.2 (July 2018),[empty],[empty],Web-app,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
jEdit XML Plugin,3.0.6 (Jun 2017),[empty],[empty],Plugin,[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty]
Liquid XML Studio,12.0.3 (2014),[empty],[empty],Standalone + Visual Studio Plugin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Oxygen XML Editor,20.0 (2018),[empty],[empty],Standalone + Eclipse Plugin<ref>Older Eclipse plugin versions work in current (Indigo) Eclipse.</ref>Web-App,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],30
Quark Author Web Edition on Quark Publishing Platform,10.5 (2014),[empty],[empty],Web-App,[empty],[empty],[empty],[empty],Sections Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Quark XML Author,4.8 (2014),[empty],[empty],Microsoft Word Plugin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
QXmlEdit project,0.9.10 (2018),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Stylus Studio,X15 R2 (2014),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Syntext Serna,4.4 (2011),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xeditor,2.0,[empty],[empty],Web-app,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xerlin,1.3 (2005),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XMetaL,13.0 (2018),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XMLBlueprint XML Editor,14 (2017),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XML Edita for Mac,1.1.13 (2018),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XML Exchanger,3.3.1 (2010),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],n/a
XML ValidatorBuddy,6.4 (2018),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XML Marker,2.2 (2013),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XMLmind,8.2 (August 27  2018),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XML Notepad,2.6 (2014),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xmplify,1.9.1 (2019),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
