Model,Announced,Released,Last revision
Mac Mini,<ref></ref>,[empty],[empty]
iMac Pro,[empty],December 2017,[empty]
iMac,[empty],[empty],[empty]
Mac Pro,[empty],[empty],[empty]
MacBook Air,[empty],[empty],[empty]
MacBook,[empty],[empty],[empty]
MacBook Pro 13.3 in,[empty],[empty],[empty]
MacBook Pro 13.3 in with Touch Bar (4th gen),[empty],[empty],[empty]
MacBook Pro 15.4 in with Touch Bar (4th gen),[empty],[empty],[empty]
MacBook Pro 13.3 in with Retina Display (3rd gen),[empty],[empty],[empty]
MacBook Pro 15.4 in with Retina Display (3rd gen),[empty],[empty],[empty]
