Client,Publisher,First public release,Type,Latest stable version,License
Upptalk,Upptalk,2010,Dual-protocol,,
Viber,Talmon Marco  Igor Magazinnik  Sani Maroli and Ofer Smocha,2010-12-02,Single-protocol,,
WeChat,Tencent Holdings,2011-01,Single-protocol,,
WhatsApp,Facebook  Inc.,2009-08,Single-protocol,,
Wickr,Wickr Inc.,2012-06,Single-protocol,,
Windows Live Messenger,Microsoft,1999-07,Dual-protocol,,(was freeware)
Wire,Wire Swiss GmbH,2014-12-03,Single-protocol,iOS: 2.2 Android: 2.3 OS X: 2.5 Windows: 2.6ch Web: 2016-04-08,
Xabber,Redsolution Inc.,2011,Single-protocol,iOS: 2.0.1<ref name="Latest Release"></ref>,
Xfire,Xfire Inc.,2004,Dual-protocol,,(was freeware)
Yahoo! Messenger,Yahoo!,1999-06-21,Dual-protocol,Windows: 11.5.0.228 OS X: 3.0.2 Unix: 1.0.4,(was freeware)
Zephyr,Project Athena,1987,Single-protocol,2.0,
Client,Publisher,First public release,Type,Latest stable version,License
