[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,[empty],6.1,[empty],[empty],[added]
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,[empty],3.01,[empty],[empty],[added]
MyPaint,Digital painting Application,Martin Renold,[empty],1.2.1,January 21  2017,[empty],[added]
OpenCanvas,[empty],Portalgraphics,[empty],4,[empty],[empty],[added]
paint.net,Freeware image editor and graphics creator based on the .Net framework,Rick Brewster  et al.,[empty],4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),October 2  2017,<ref name="blog.getpaint.net">http://blog.getpaint.net/2009/11/06/a-new-license-for-paintnet-v35/</ref><ref name="getpaint.net">http://www.getpaint.net/license.html</ref>,[added]
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,[empty],5,[empty],[empty],[added]
Pencil2D,2D graphical animation software.,Pascal Naidon,[empty],0.4.4,[empty],[empty],[added]
[added],[added],[added],[added],[added],[added],[added],[added]
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,[empty],0.2.7,[empty],[empty],[added]
Photofinish*,[empty],ZSoft Corporation,[empty],2,[empty],[empty],[added]
Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,[empty],HDR 7.0,[empty],[empty],[added]
PhotoLine,Image editor with advanced features,Computerinsel (Germany),[empty],20.53,2018,€59,[empty]
PhotoPerfect*,Image editor with some advanced features,Arcadia Software AG  Joachim Koopmann Software,[empty],2.9,[empty],[empty],[added]
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,[empty],1.0,[empty],[empty],[added]
Photo Raster,Advanced online photo editor,David Levinsky,[empty],0.9,[empty],[empty],[added]
Picasa*,Efficient image organizer with basic editing tools  other image effects,Google,[empty],3.9.141.259,[empty],Discontinued,[empty]
PicMaster,Has 300 filter effects  slide show  poster printing  mosaics  true 3D  more,Alexander Sabov,[empty],4.03,[empty],[empty],[added]
