[empty],Amazon Music Storage (discontinued),iTunes Match,Google Play Music,VOX Music Cloud,Groove Music + OneDrive (discontinued),Style Jukebox (discontinued),iBroadcast
Owner:,Amazon.com  Inc.,Apple Inc.,Google Inc.,Coppertino Inc.,Microsoft Corp.,Digital Geek Ltd.,iBroadcast Media  LLC
Launch date:,2011-03-29<ref>Amazon launches Cloud Player music locker service  Los Angeles Times  2011-03-29</ref>,2011-10-12,2011-05-10 (beta)<ref>Google Launches 'Music Beta ' a Streaming Cloud Service for Tunes  Wired News  2011-05-10</ref>,2015-04-15<ref>Coppertino Launches New LOOP Music Locker  MacRumors  2015-04-15</ref>,2015-03-18<ref>Xbox Music can now play music stored in OneDrive  The Verge  2015-03-18</ref>,2012-09-05,[empty]
Web player:,[empty],[empty],<ref name="GooglePlayPlatforms">System requirements and country availability  Google Play Help</ref>,[empty],[empty],<ref>Style Jukebox's iOS and Web apps play your hi-def music library from the cloud  The Next Web</ref>,[empty]
Windows player:,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Android player:,<ref>Using Amazon Cloud Player for Android  Amazon Help</ref><ref>Amazon Music for Android  Amazon.com</ref>,[empty],<ref name="GooglePlayPlatforms" />,[empty],[empty],[empty],[empty]
iOS player:,<ref>Amazon Cloud Player for iOS hands-on: the war for your music heats up  The Verge  12 June 2012</ref><ref>Amazon Music for iPhone  iPad  and iPod touch  Amazon.com</ref>,[empty],<ref>Google Play Music arrives for iOS  CNET November 15  2013</ref>,<ref>Vox Plays Any Music File on iOS  Streams Music from a New Music Locker  CNET April 15  2015</ref>,[empty],[empty],[empty]
Windows Phone player:,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Other listening platforms:,Fire TV  Sonos <ref>Register Your Sonos Device with Amazon Music  Amazon Help</ref> Roku <ref>Amazon Cloud Player coming soon to Roku  31 July 2012  Roku Blog</ref><ref>Amazon Cloud Player on Roku  Amazon.com Help</ref> Samsung TVs  Amazon Echo and Dot,Apple TV  other AirPlay,Android TV  Apple TV  other AirPlay  Chromecast  Sonos<ref>Play. Amplified. Introducing Google Play and Sonos</ref>,macOS  Apple TV via AirPlay  Chromecast  Sonos<ref>Play Lossless with Sonos via VOX</ref>,Xbox One  Xbox 360,url = https://www.qualcomm.com/news/releases/2014/09/04/qualcomm-expands-allplay-smart-media-platform-reach-working-hardware-and|website = Qualcomm|accessdate = 2015-12-06}}</ref> Chromecast,[empty]
Free space:,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Upload software:,Windows  OS X<ref name="AmazonImporting" />,Windows  OS X,[empty],[empty],[empty],[empty],Any Browser  Windows
Filetypes uploaded:,MP3 and AAC<ref name="AmazonImport">About Importer File Formats  Amazon Help</ref>,MP3 and AAC,MP3<ref></ref>,FLAC  MP3  AAC  M4A  WAV  OGG  AIFF  WMA  APE  ALAC,MP3  AAC  WMA,MP3  AAC  OGG  WMA  M4A  WAV  APE  AIFF  FLAC  ALAC,MP3  AAC  OGG  FLAC  PCM  MKA
Filetypes transcoded:,None,Transcoded to 256 kbit/s AAC: ALAC  WAV  AIFF,Transcoded to 320 kbit/s MP3: AAC  ALAC  FLAC  WMA  Ogg<ref name="GoogleSupportedFileTypes">Google Play Music supported file types  Google Play Help</ref>,None,None,None on upload,[empty]
Maximum file size:,100 MB,200 MB or 2 hours<ref>iTunes Store: Subscribing to iTunes Match  Apple.com</ref>,300 MB<ref>Storage limits  Google Play Help</ref>,No limit,10 GB<ref>OneDrive's file size limit upped to 10GB  syncing speeds tripled  PC World  Sep 11  2014</ref>,1 GB,[empty]
Premium service name:,Cloud Player Premium<ref>Updated Amazon Cloud Player Includes New Scan and Match Technology  Free Audio Quality Upgrades  and More  press release</ref><ref>Amazon Updates Cloud Player: Scan & Match Imports  256 Kbps Audio Upgrades  Premium Accounts  TechCrunch</ref>,iTunes Match<ref name="match">iTunes Match  Apple.com</ref>,None storage related,Loop Music Cloud Storage,Additional OneDrive storage,Style Jukebox Pro<ref></ref>,Entirely Free (Premium Features TBA)
Premium service features:,Match/import up to 250.000 files,Match/import up to 100.000 files<ref>Apple support page showing 100.000 track limit</ref>,Matching included in basic features<ref>Google Music's Free Scan and Match Feature Comes to the U.S.</ref>,Unlimited Storage and Playback,N/A,Upload 2 TB of music 24bit/192kHz High-Resolution Audio Playback,TBA
Premium annual cost:,$24.99 (US)  £21.99 (UK),$24.99 (US)  £21.99 (UK)  €24.99 (FR)  $39.99 (AU),None,$15.99 (per month)  $131.88 (per year),N/A,$4.99 for 10 GB  $29.99 for 100 GB  $99.99 for 1 TB,TBA
Matchable file types:,MP3  AAC  AIFF  ALAC  WAV  FLAC  Ogg  WMA<ref name="AmazonImport" />,MP3  AAC  AIFF  ALAC  WAV<ref name="match" />,MP3  AAC  ALAC  FLAC  Ogg  WMA<ref name="GoogleSupportedFileTypes" />,No matching feature,No matching feature,No matching feature,No matching feature
Result for matched song:,256 kbit/s VBR MP3<ref>About Matched Music  Amazon.com</ref>,256 kbit/s AAC<ref name="match" />,320 kbit/s CBR MP3<ref>Google Play Music enables scan and match in Europe ahead of US launch  The Verge</ref><ref>Matching feature on the Google Play Music Manager  Google Play Help</ref>,No matching feature,No matching feature,No matching feature,No matching feature
Premium service countries:,US  UK <ref>Amazon announces cloud player in the UK  The Telegraph</ref> DE  FR<ref>Amazon Cloud Player launches in the UK  France and Germany  Music Alley  September 18th  2012</ref>,117<ref>iTunes in the Cloud and iTunes Match Availability  Apple Support</ref>,63<ref>Our new music matching feature gets your songs into your online music library on Google Play much faster. We’ll scan your collection and quickly rebuild it in the cloud - all for free.  Google Play on Google+  18 Dec 2012</ref><ref>Country availability for apps & digital content</ref>,Worldwide,22,Worldwide,TBA
