Format name,Operating system,Filename extension,Explicit processor declarations,Arbitrary sections,Metadata,Digital signature,String table,Symbol table,64-bit,Fat binaries,Can contain icon
OS/360,OS/360 and VS/9 mainframe systems,none,,,,,,,,,
a.out,Unix-like,none,,,,,<ref name=aout></ref>,<ref name=aout />,,,
COFF,Unix-like,none,by file,,,,,,,,
ECOFF,Ultrix  Tru64&nbsp;UNIX  IRIX,none,by file,,,,,,,,
XCOFF,IBM&nbsp;AIX  BeOS  "classic" Mac&nbsp;OS,none,by file,,,,,<ref></ref>,,,
ELF,Unix-like  OpenVMS,none,by file,,,<ref></ref>,,<ref name=3elf></ref>,,</ref>}},</ref>}}
Mach-O<ref name=macosx></ref>,NeXTSTEP  macOS  iOS  watchOS  tvOS,none,by section,(limited to max. 256 sections),,,,,,,
SOM,HP-UX  MPE/ix,,,,,,,,,,
Amiga Hunk,AmigaOS,none,,,,,,,,,
PEF<ref name="apple-pef"></ref>,"classic" Mac&nbsp;OS,none,by file,,,,,,,,
CMD,CP/M-86  MP/M-86  Concurrent&nbsp;CP/M-86  Personal&nbsp;CP/M-86  S5-DOS  Concurrent&nbsp;DOS  Concurrent&nbsp;DOS&nbsp;286  FlexOS  S5-DOS/ST  S5-DOS/MT  Concurrent&nbsp;DOS&nbsp;386  Multiuser&nbsp;DOS  System&nbsp;Manager  REAL/32  DOS&nbsp;Plus,.CMD,(x86 only),,,,,,,,
FlexOS 186,FlexOS&nbsp;186  FlexOS&nbsp;286  S5-DOS/ST  S5-DOS/MT  4680&nbsp;OS  FlexOS&nbsp;386  4690&nbsp;OS,.186,(186/188 and higher only),,,,,,,,
FlexOS 286,FlexOS&nbsp;286  S5-DOS/ST  S5-DOS/MT  4680&nbsp;OS  FlexOS&nbsp;386  4690&nbsp;OS,.286,(286 and higher only),,,,,,,,
CP/M-68K,CP/M-68K  Concurrent&nbsp;DOS&nbsp;68K  FlexOS&nbsp;68K,.68K,(68000 and higher only),,,,,,,,
COM (CP/M),CP/M  MP/M  Concurrent&nbsp;CP/M  Personal&nbsp;CP/M,.COM,(8080/Z80 only),(BDOS 3 and higher only),,,,,,,
COM (DOS),DOS  OS/2  Windows (except for 64-bit editions)  Concurrent&nbsp;CP/M-86 (BDOS 3.1 only)  Concurrent&nbsp;DOS  Concurrent&nbsp;DOS&nbsp;286  FlexOS  Concurrent&nbsp;DOS&nbsp;386  Multiuser&nbsp;DOS  System&nbsp;Manager  REAL/32  DOS&nbsp;Plus,.COM,(x86 only),,(Novell/Caldera VERSION etc.),,,,,,
MZ (DOS),DOS  OS/2  Windows (except for 64-bit editions)  Concurrent&nbsp;DOS&nbsp;286  FlexOS  Concurrent&nbsp;DOS&nbsp;386  Multiuser&nbsp;DOS  System&nbsp;Manager  REAL/32  DOS&nbsp;Plus,.EXE,(x86 only),,(Novell/Caldera VERSION etc.),,,,,,
MZ (GEM),GEM  ViewMAX,.APP/.ACC,(x86 only),,,,,,,,
NE,MS-DOS 4.0 (multitasking)  OS/2  Windows  HX&nbsp;DOS&nbsp;Extender,.EXE,,,,,,,,,
LE  (W3  W4),OS/2 (2.0 and higher only)  some DOS extenders,.EXE,by file (286 and higher only),,,,,,,,
LX,OS/2 (2.0 and higher only)  some 32-bit DOS extenders,.EXE,by file,,,,,<ref></ref>,,,
PE,Windows  ReactOS  HX&nbsp;DOS&nbsp;Extender  BeOS (R3 and higher only),.EXE,by file,,,<ref></ref>,,,,,
PE32+,Windows (64-bit editions only),.EXE,by file,,,,,,,<ref></ref>,
PIM/XIP,PalmDOS (MINIMAX applications only),.PIM/.XIP,(x86 only),,,,,,,,
DL,MS-DOS System&nbsp;Manager applications (HP LX series only),.EXM,(186/188 and higher only),,,,,,,,
MP,Phar&nbsp;Lap DOS extenders,.EXP,(286 and higher only),,,,,,,,
P2,Phar&nbsp;Lap 16-bit DOS extenders,.EXP,(286 and higher only),,,,,,,,
P3,Phar&nbsp;Lap 32-bit DOS extenders,.EXP,(386 and higher only),,,,,,,,
GEOS,PC/GEOS  Geoworks&nbsp;Ensemble  NewDeal&nbsp;Office  Breadbox&nbsp;Ensemble,.GEO,(x86 only),,,,,,,,
