Operating system,Mandatory access control,Software executable space protection,Operating system-level virtualization,Virtualisation,Userspace protection,Others
Linux,}},PaX }},Linux-VServer  OpenVZ }},[empty],IPFilter  Iptables,grsecurity  RSBAC
FreeBSD,[added],[added],[added],[added],[added],[added]
