Project,License,Date,Version,Protocol,Technology,Server,Client,Web Client,Multiple Sessions,Encryption,Authentication
2X Software,Proprietary,June 24  2006,?,Proprietary,RDP,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
