Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a  802.11b  802.11g,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
an,802.11b,PC Card  PCI  ISA,[empty],[empty],[empty],[empty],[empty],[empty]
ath,802.11a  802.11b  802.11g,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
athn,802.11a  802.11b  802.11g  802.11n,Cardbus  PCI-E  Mini PCIE,[empty],[empty],[empty],[empty],[empty],[empty]
atu,802.11b,USB,[empty],[empty],[empty],[empty],[empty],[empty]
atw,802.11b,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
bwi,802.11b  802.11g,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
cnw,N/A,PC Card,[empty],[empty],[empty],[empty],[empty],[empty]
ipw,802.11b,PCI,[empty],[empty],[empty],[empty],[empty],[empty]
iwi,802.11a  802.11b  802.11g,PCI,[empty],[empty],[empty],[empty],[empty],[empty]
iwn,802.11a  802.11b  802.11g  802.11n,PCI-E  Mini PCIE,[empty],[empty],[empty],[empty],[empty],[empty]
iwm,802.11a  802.11b  802.11g  802.11n,PCI-E  Mini PCIE,[empty],[empty],[empty],[empty],[empty],[empty]
malo,802.11b  802.11g,Cardbus  PC Card  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
otus,802.11a  802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
pgt,802.11a  802.11b  802.11g,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
ral,802.11a  802.11b  802.11g,Cardbus  PCI  Mini PCI,[empty],[empty],[empty],[empty],[empty],[empty]
ray,N/A,PC Card,[empty],[empty],[empty],[empty],[empty],[empty]
rtw,802.11b,Cardbus  PCI,[empty],[empty],[empty],[empty],[empty],[empty]
rtwn,802.11b  802.11g,Mini PCIE,[empty],[empty],[empty],[empty],[empty],[empty]
rum,802.11a  802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
run,802.11a  802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
uath,802.11a  802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
upgt,802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
ural,802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
urtw,802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
urtwn,802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
wi,802.11b,PC Card  PCI  USB,[empty],[empty],[empty],[empty],[empty],[empty]
wpi,802.11a  802.11b  802.11g,PCI,[empty],[empty],[empty],[empty],[empty],[empty]
zyd,802.11b  802.11g,USB,[empty],[empty],[empty],[empty],[empty],[empty]
