Foundatio,Company,Founded,Storage,Monthly<br>bandwidth,File size limit,FTP upload,Page builder,Templates,Ad-free,Blog,Domain registration,Archive site,Custom HTML,Custom CSS,Custom JavaScript,Custom File hosting,API,HTML5,eCommerce,Prices of connecting owned domain
Angelfire,Lycos,1996,20 MB,1 GB,[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
Google Sites*,Google,2008,100 MB,1 GB/day,20 MB<ref>https://support.google.com/a/answer/90917?hl=en&ref_topic=25684</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Free<ref></ref>
Jimdo<ref>http://www.jimdo.com/pricing/feature-overview</ref>,Jimdo,2007,500 MB,2GB,10 MB - 100 MB,[empty],[empty],[empty],Paid Only,[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],US$90/year
Neocities,Neocities,2013,1 GB,200 GB,100 MB,[empty],[empty],[empty],[empty],[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],US$5.00/mo<ref>https://neocities.org/plan</ref>
Tripod.com,Lycos,1995,20 MB,1 GB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
uCoz,uCoz Media,2005,400 MB,Unlimited,15 MB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
Webnode,Webnode,2008,100 MB,1 GB,100 MB,[empty],[empty],[empty],[empty],[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],US$3.95/mo<ref>https://us.webnode.com/pricing-w2/</ref>
''Webs'',FreeWebs,2001,40+ MB,500 MB,[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],US$5.99/mo
Weebly,Weebly,2006,500MB,Unlimited,10 MB,[empty],[empty],[empty],[empty],[empty],Paid Only,[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://thenextweb.com/insider/2013/05/02/diy-web-builder-weebly-launches-an-android-app-along-with-a-mobile-and-html5-site-creator/</ref>,Paid Only,US$96/yr
Wix.com,Wix.com,2006,500MB,500MB,50MB,[empty],[empty],[empty],US$10/mo,[empty],Paid Only,[empty],[empty],Inline Only,[empty],[empty],[empty],[empty],<ref></ref>,US$5.00/mo<ref>https://premium.wix.com/wix/api/wixPackagePicker?referralAdditionalInfo=dashboard-banner-list-top&forcePremiumTop=true</ref>
WordPress.com,Automattic,2004,3 GB,Unlimited,Unlimited,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Paid Only,[empty],[empty],[empty],[empty],<ref>WordPress.com Business Users: Ecommerce has Arrived! — Blog — WordPress.com</ref>,US$4.00/mo<ref></ref>
Yola,Yola,2007,1 GB,1 GB,5 MB,[empty],[empty],[empty],[empty],[empty],Paid only,[empty],[empty],[empty],[empty],[empty],Paid only,website=www.yola.com|language=en|access-date=2018-01-12}}</ref>,No,US$4.95/mo
