Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Fillrate,Memory,Supported API version,Processing power (GFLOPS),TDP (Watts),Notes
Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,[added],[added]
GeForce G210M,June 15  2009,GT218,40,PCIe 2.0 ×16,16:8:4,625,1500,1600,2.5,5,512,12.8
GeForce GT 220M,2009,G96b,55,PCIe 2.0 ×16,32:16:8,500,1250,1000<br />1600,4,8,1024,16<br />25.6
GeForce GT 230M,June 15  2009,GT216,40,PCIe 2.0 ×16,48:16:8,500,1100,1600,4,8,1024,25.6
GeForce GT 240M,June 15  2009,GT216,40,PCIe 2.0 ×16,48:16:8,550,1210,1600,4.4,8.8,1024,25.6
GeForce GTS 250M,June 15  2009,GT215,40,PCIe 2.0 ×16,96:32:8,500,1250,3200,4,16,1024,51.2
GeForce GTS 260M,June 15  2009,GT215,40,PCIe 2.0 ×16,96:32:8,550,1375,3600,4.4,17.6,1024,57.6
GeForce GTX 260M,March 3  2009,G92b,55,PCIe 2.0 ×16,112:56:16,550,1375,1900,8.8,30.8,1024,60.8
GeForce GTX 280M,March 3  2009,G92b,55,PCIe 2.0 ×16,128:64:16,585,1463,1900,9.36,37.44,1024,60.8
GeForce GTX 285M,February 2010,G92b,55,PCIe 2.0 ×16,128:64:16,600,1500,2000,9.6,38.4,1024,64.0
