Software,Platform,License,Latest version,Last release year,Size<br />(MB),Description,Number,Supported metadata standards,Supported file formats
EXIF,GPS,IPTC,XMP,Maker,Other,JPEG,TIFF,Raw,Other
<ref></ref>,Linux MacOS,,0.5.2,2014,3.1,Toolbox composed of a GUI application  a CLI application and a library  to anonymize/remove metadata,,,,,,,,,,,
MetadataFox<ref></ref>,Windows,,1.1,2010,0.4,A tool to explore files by their XMP metadata.,,-,-,-,,-,-,,-,-,
MetadataTouch<ref></ref>,Windows,,5.2,2011,0.6,A tool to view and edit IPTC and XMP metadata.,70,-,-,,,-,-,,-,-,
MetaEditor,Windows,,3.3.0.0,2014,7.1,Allows you read and edit metadata within your digital photos.,>200,,,,,-,-,,,-,-
MetaLith<ref></ref>,Windows,,10.00,2018,16,Allows you read  analyze and edit metadata. The main feature of the program is the ability to simultaneously edit any number of files.,>200,,,,,-,,,,,
Opanda PowerExif<ref></ref>,Windows,,1.22,2013,1.6,A powerful GUI tool with batch processing to edit EXIF/GPS data and completely remove all data (include EXIF) in images.,>130,,,-,-,-,-,,,-,-
PhotoME<ref></ref>,Windows,,0.8ß2,2009,3.1,Show and edit the metadata of image files  analyze and modify EXIF and IPTC-NAA data  and analyze ICC profiles.,>200,,,,-,,,,,,
QuickImageComment<ref></ref>,Windows,,4.31,2018,15.8,Windows GUI to show images and edit meta data (using exiv2 library); GPS data can be shown and modified on a map; optimised to edit comments.,>200,,,,,,-,,,,-
VRmeta<ref></ref>,Linux  MacOS  Windows,,1.0,2018,11.9,Add .xmp metadata  embed in-frame time-based metadata  export as .csv or .xmp  embed IPTC keywords and captions.,>unlimited,,,,,,,,,,
XnView<ref></ref>,Linux  MacOS  Windows,,2.45,2018,4.6 to 14.6,Picture viewer  editor with slide show  scan module  add ons,>31,,,,,,,,,,
